Alaska,[E5lAskE],"n.阿拉斯加州(美国州名)鞯? 暴风雨的, 恶劣的(天气)vt.弄脏//vi.变"
settle,[5setl],"n.有背的长凳//vt.安放, 使定居, 安排, 解决, 决定, 整理, 支付, 使平静//vi.安家, 定居, 停留, 下陷, 沉淀, 决定, 澄清"
settlement,[5setlmEnt],"n.沉降, 解决, 结算, 殖民, 殖民地"
settler,[5setlE],"n.移民者, 殖民者, [律]财产赠予者, 托管财产者"
shame,[Feim],"n.羞耻, 羞愧, 可耻的人(或事物)>阴茎"
shape,[Feip],"n.外形, 形状, 形态, (尤指女子的)体形, 身段, 形式//vt.制作, 定形, 使成形, 塑造, 使符合//vi.成形, 形成, 成长"
shop assistant,[],n.店员
shore,[FC:; FCE],"n.岸, 海滨, 支撑柱//vt.支撑, 支持"
show...out,[],领…出去
shy,[Fai],"adj.怕羞的, 畏缩的, 害羞的"
sideway,[`saidwei],"n.小路, 小巷,人行道"
sight,[sait],"n.视力, 视觉, 见, 瞥见, 视域, 眼界"
silent,[5sailEnt],"adj.寂静的, 沉默的, 无声的, 无记载的"
silver,[5silvE],"n.银, 银子//vt.镀银"
skin,[skin],"n.皮, 皮肤, 兽皮, 皮毛, 外皮, 外壳//v.长皮"
so as to,[],"adv.使得, 以致//如此...以致于"
so that,[],"conj.所以//所以, 因要"
solve,[sClv],"vt.解决, 解答"
sooner or later,[],adv.迟早
speed,[spi:d],"n.迅速, 速度, 速率//v.加快, 速飞, 飞跑"
speed up,[],v.加速
square,[skwZE],"n.正方形, 广场, 平方, 直角尺//adj.正方形的, 四方的, 直角的, 正直的, 公平的, 结清的, 平方的, 彻底的//adv.成直角地, 正直地, 公平地, 坚定地//v.使成方形, 弄平, 使直, 与...一致, 符合, 自乘, 结算"
square kilometres,[],平方公里
stage,[steidV],"n.舞台, 戏剧, 活动场所, 发展的进程, 阶段或时期, 驿站//vt.上演, 筹备, 举行"
standing room,[],n.站立的空间//只容站立的地方
stare,[steE(r)) 凝视; 盯着看],"v.(～ at) 凝视, 盯着看"
stare at,[],"v.凝视, 盯住"
steam,[sti:m],"n.蒸汽, 水汽//vi.蒸发//vt.蒸"
steel,[sti:l],"n.钢, 钢铁"
stick,[stik],"n.棍, 棒, 手杖//v.粘住, 粘贴//vt.刺, 戳"
stick to,[],v.粘住
still,[stil],"n.寂静, 剧照, 照片//adj.静止的, 静寂的//adv.还, 仍, 更, 还要, 尽管如此, 依然//静止画面,静态图片"
stomach,[5stQmEk],"n.胃, 胃口, 胃部//v.容忍"
stomach pain,[],胃痛
storm,[stC:m],"n.暴风雨, 暴风雪//v.狂怒咆哮//abbr.[军] Sensor,Tank,Off-Route Mine, 路外反坦克雷传感器"
strike,[straik],"n.罢工, 打击, 殴打//vt.打, 撞击, 冲击, 罢工, 打动, 划燃, 到达, 侵袭//vi.打, 打击, 罢工, 抓, 敲, 搏动, 打动, 穿透"
struggle,[5strQgl],"n.竞争, 努力, 奋斗//vi.努力, 奋斗, 挣扎//vt.尽力使得, 使劲移动"
struggle against,[],同…作斗争
such as,[],"adv.例如...,象这种的"
suitable,[5sju:tEbl],"adj.适当的, 相配的"
sunlight,[5sQnlait],"n.日光, 阳光, 日照"
suppose,[sE5pEuz],"vt.推想, 假设, 猜想//vi.料想//conj.假使...结果会怎样"
surface,[5sE:fis],"n.表面, 外表, 水面//adj.表面的, 肤浅的"
surprisingly,[],adv.令人惊讶地
swing,[swiN],"v.摇摆, 摆动, 回转, 旋转//n.秋千, 摇摆, 摆动"
tailor,[5teilE],"n.裁缝//vt.剪裁, 缝制(衣服)～, 适应, 适合//v.制做"
take it easy,[],"v.从容, 不紧张, 松懈, 轻松"
take sides in,[],站在…一边
take the place of,[],v.代替
tank,[tANk],"n.(盛液体, 气体的大容器)桶、箱、罐、槽, 池塘, 坦克, 战车, 柜, 储水池//vt.储于槽中, 击败//vi.大量喝酒"
tanker,[5tANkE],n.油轮
tap,[tAp],"n.轻打, 活栓, 水龙头//vt.轻打, 轻敲, 敲打出, 开发, 分接, 使流出, 选择, 攻螺纹于//vi.轻叩, 轻拍, 轻声走//n.<美>(用复数)熄灯号"
technical,[5teknikEl],"adj.技术的, 技术上的, 技巧方面的"
tent,[tent],n.帐篷
text,[tekst],"n.正文, 原文, 课文, 课本"
that,[TAt],"adj.那, 那个//pron.那, 那个//conj.引导从句"
the First World War,[],第一次世界大战
the Mediterranean,[7meditE5reinjEn],地中海
the Nobel Prize,[],诺贝尔奖
the Nobel prize,[],n.诺贝尔奖
the Spring Festival,[],春节
the other day,[],n.前几天
throw at,[],向…扔去
throw up,[],"v.呕吐, 猛地举起, 放弃, 产生, 使显眼"
to one's joy,[],令人高兴的是
tod,[tCd],"n.狐, 机灵的人, 狐皮"
tool,[tu:l],"n.工具, 用具, 爪牙, 走狗, 手段//vt.用工具加工, 使用设备//vi.使用工具"
trade,[treid],"n.贸易, 商业, 交易, 生意, 职业, 行业, [气]信风, 顾客//vi.交易, 买卖, 经商, 对换, 购物//vt.用...进行交换"
train,[trein],"n.火车, 列车, 行列, 后果, 顺序, 长队, 长袍(裙)拖地的部分, 导火线//vt.训练, 培养, 瞄准, (园艺)整枝//vi.锻炼"
training,[5treiniN],"n.训练, 练习//adj.训练的"
treat,[tri:t],"n.宴请, 款待, 请客//vt.视为, 对待, 论述, 治疗, 款待//vi.交涉, 谈判, 协商, 款待, 作东"
trust,[trQst],"vt.信任, 信赖, 盼望, 希望, 赊卖, 热望, 切望//n.(～ in) 信任, 信赖"
turn...into...,[],把…变成…
uncertain,[Qn5sE:tn],"adj.无常的, 不确定的, 不可预测的, 靠不住的"
underwater,[5QndE5wC:tE],"adj.在水下的, 在水中的//adv.在水下, 在水线以下//n.(海洋等)水面下的水"
value,[5vAlju:; -ju],"n.价值, 估价, 评价, 价格, [数]值, 确切涵义//vt.估价, 评价, 重视"
wake up,[],v.醒来
warn,[wC:n],"vt.警告, 注意, 通知//vi.发出警告, 发出预告"
warning,[5wC:niN],"n.警告, 预告, 通知, 预兆"
weatherman,[`weTEmEn],气象员
weekly,[5wi:kli],"adj.每星期的, 一周的//adv.每周一次//n.周刊, 周报"
whatever,[wCt5evE; hw-],"pron.凡是...,无论什么//adj.无论怎样的, 无论哪一种的, 什么也"
wheel,[wi:l; hw-],"n.轮, 车轮, 轮子"
whenever,[(h)wen5evE],"conj.无论何时, 随时//n.只要"
wherever,[(h)wZEr5evE],"adv.无论那里, 无论什么情况下"
wire,[5waiE],"n.金属丝, 电线, 电报, 电信, 铁丝网//vt.用金属丝卷起, 拍电报//vi.打电报//adj.金属丝制的"
within,[wiT5in],"n.内部, 里头//adv.在内部, 在内心里//prep.在...之内, 不越出//adj.里面的, 内部的"
wooden,[5wudn],adj.木制的
work out,[],"v.可以解决, 设计出, 作出, 计算出, 消耗完"
world-wide,[5wE:ldwaid],世界范围的
wound,[wu:nd],"n.创伤, 伤口//vt.伤, 伤寒//v.击伤"
