defence\defense,[],n.防御；防备
defend,[di5fend],"vt.防护, 辩护, 防卫, [律]作...的辩护律师"
definite,[5definit],"adj.明确的, 一定的"
degree,[di5gri:],"n.度数, 度, 程度, [律](罪行的)轻重, 学位, 地位, 身份, [数]次数"
delay,[di5lei],"v.耽搁, 延迟, 延期, 迟滞//n.耽搁, 延迟, 迟滞"
delicious,[di5liFEs],adj.美味的
delight,[di5lait],"n.快乐, 高兴, 喜悦//v.(使)高兴, (使)欣喜"
delighted,[di5laitid],"adj.欣喜的, 快乐的"
deliver,[di5livE],"vt.递送, 陈述, 释放, 发表(一篇演说等), 交付, 引渡, 瞄准, 给予(打击)的(声音)//adv"
demand,[di5mB:nd],"n.要求, 需求(量), 需要//v.要求, 需要, 要求知道, 查询"
department,[di5pB:tmEnt],"n.部, 局, 处, 科, 部门, 系, 学部"
department store,[],n.百货公司
depend,[di5pend],"vi.依靠, 依赖"
depend on,[],"v.依靠, 依赖"
depth,[depW],"n.深, 深度, 深奥, 深刻"
describe,[dis5kraib],"vt.描写, 记述, 形容, 形容//v.描述"
description,[dis5kripFEn],"n.描写, 记述, 形容, 种类, 描述"
desert,[di5zE:t],"n.沙漠, 应得的赏罚, 功过//adj.沙漠的, 不毛的, 荒凉的//vt.放弃, 遗弃, 逃跑//vi.逃掉, 逃亡, 开小差"
design,[di5zain],"n.设计, 图案, 花样, 企图, 图谋, (小说等的)构思, 纲要//v.设计, 计划, 谋划, 构思"
designer,[di5zainE],"n.阴谋家,设计家,制图师"
desire,[di5zaiE],"vt.想望, 期望, 希望, 请求(官方丈礼)//n.愿望, 心愿, 要求//v.要求"
desk,[desk],"n.书桌, 办公桌"
destroy,[dis5trCi],"vt.破坏, 毁坏, 消灭//v.消灭, 摧毁"
detective,[di5tektiv],n.侦探//adj.侦探的
determination,[di tE:mi5neiFEn],"n.决心, 果断"
determine,[di5tE:min],"v.决定, 确定, 测定, 使下定决心, [律]使终止"
determined,[di5tE:mind],"adj.坚决的, 决定了的"
develop,[di5velEp],"vt.发展, 发达, 发扬, 进步, 逐步展开(情节,音乐主题,方程式等)洗印, 显影//vi.发展, 生长, 发育, 逐步显示出来"
development,[di5velEpmEnt],n.发展
devote,[di5vEut],"vt.投入于, 献身"
devote to,[],把...献给// 把...专用于
dial,[5daiEl],"n.刻度盘, 钟面, 转盘, (自动电话)拨号盘//v.拨"
dialog,[5daiElCg],"n.(=dialogue)会话, 对话"
dialogue,[5daiElCg],n.对话
diamond,[5daiEmEnd],"n.钻石, 菱形"
diary,[5daiEri],n.日记
dictation,[dik5teiFEn],"n.听写, 口述"
dictionary,[5dikFEnEri],"n.字典, 词典"
die,[dai],"vi.死亡, 消逝, 平息, 渴望, 漠然, 熄灭//vt.死//n.骰子, 钢型, 硬模, 冲模"
die of,[],因某病而死
die out,[],"v.灭绝, 逐渐消失, 渐渐止息"
diet,[5daiEt],"n.通常所吃的食物, 会议"
difference,[5difErEns],"n.差异, 差别, 分歧, 争论, [数]差额, 差分//adj.[数]微分的, [机]差动的"
different,[5difrEnt],adj.不同的
differently,[5difrentli],adv.不同地
difficult,[5difikElt],"adj.困难的, 艰难的, (人)难相处的"
difficulty,[5difikElti],"n.困难, 难点"
dig,[dig],"v.掘, 挖, 钻研, 搜集"
digest,[di5dVest; dai5dVest],"n.分类, 摘要//vi.消化//vt.消化, 融会贯通"
dingo,[5diNgEu],n.[动] 澳洲野狗
dining room,[],n.饭厅
dinner,[5dinE],"n.正餐, 宴会"
dip,[dip],"v.浸, 蘸, 沾"
direct,[di5rekt; dai5rekt],"adj.径直的, 直接的, 直系的, 直率的, [天]由西向东运行的, 顺行的//adv.直接地//vt.指引, 指示, 指挥, 命令, 导演//vi.指导, 指挥"
direct speech,[],n.[语]直接引语
direction,[di5rekFEn; dai5rekFEn],"n.方向, 指导, 趋势, (常用复数)指示, 用法, 说明(书), 收件人地址"
director,[di5rektE; dai5rektE],"n.主任, 主管, 导演, (机关)首长, (团体)理事, (公司)董事, 指挥仪, 控制器"
directory,[di5rektEri],"n.姓名地址录, 目录"
dirt,[dE:t],"n.污垢, 泥土"
dirty,[5dE:ti],"adj.肮脏的, 卑鄙的, 下流的, 暴风雨的, 恶劣的(天气)//vt.弄脏//vi.变脏"
disability,[7disE5biliti],"n.无力, 无能, 残疾//n.[律] 无能力, 无资格"
disabled,[dis5eib(E)ld],adj.伤残的//v.丧失能力
disadvantage,[7disEd5vB:ntidV],"n.不利, 不利条件, 缺点, 劣势"
disagree,[7disE5gri:],"vi.不一致, 不适宜"
disagreement,[disE5gri:mEnt],"n.意见不同, 不调和, 争执, 不和, 争论"
disappear,[7disE5piE],"vi.消失, 不见"
disappoint,[7disE5pCint],vt.使失望
disappointing,[7disE5pCintiN],"adj.使人失望的, 令人失望的"
disappointment,[7disE5pCintmEnt],n.失望
disaster,[di5zB:stE],"n.灾难, 天灾, 灾祸"
discover,[dis5kQvE],"vt.发现, 发觉//v.发现"
discovery,[dis5kQvEri],"n.发现, 发明的东西"
discrimination,[dis7krimi5neiFEn],"n.辨别, 区别, 识别力, 辨别力, 歧视"
discuss,[dis5kQs],"vt.讨论, 论述"
discussion,[dis5kQFEn],n.讨论
disease,[di5zi:z],"n.疾病, 弊病"
dish,[diF],"n.盘, 碟, 盘装菜//v.提出//碟形卫星天线"
disk,[disk],"n.(=disc) 磁盘, 磁碟片, 圆板, 圆盘, 圆盘状物"
dislike,[dis5laik],"vt.讨厌, 不喜欢//n.嫌恶"
disobey,[5disE5bei],"v.违反, 不服从"
distance,[5distEns],"n.距离, 远离, 一长段时间, 远方, 远景, 遥远, (时间的)间隔, (时日的)经过"
distant,[5distEnt],"adj.远的, 关系远的(亲戚), 疏远的, 间隔的, 冷漠的"
district,[5distrikt],"n.区域, 地方, 管区, 行政区, (美国各州的)众议院选区"
disturb,[dis5tE:b],"vt.弄乱, 打乱, 打扰, 扰乱//v.扰乱"
dive,[daiv],"vi.潜水, 跳水, 下潜, 俯冲//n.潜水, 跳水, 下潜, 俯冲"
divide,[di5vaid],"v.分, 划分, 分开, 隔开"
divide up,[],分割
divide...into...,[],*把…分成…
do,[dEu],"v.做, 实行, 尽力, 给予, 可用, 制作, 算出, 解答//[域] Dominican Republic , 多米尼加共和国"
do a good deed,[],做一件好事
do one's best,[],v.尽全力
do one's homework,[],做家庭作业
do one's lessons,[],做(预习或复习)功课
do some cleaning,[],扫除
do some cooking,[],做饭
do some shopping,[],买东西
do somebody a favor,[],*帮某人一个忙
do the deed,[],v.产生效果
do well in,[],"成绩好,...做得好"
do wrong,[],v.作恶
doctor,[5dCktE],"n.医生, 博士, [古]学者, <俚>修理师//vt.授以博士学位, 诊断, 修改, <美>治疗, 搀混(食物、饮料), 修改//vi.行医"
dog,[dCg],"n.狗, 犬, 类似犬的动物, 卑鄙的人, 小人, 坏蛋//vt.跟踪, 尾随"
dollar,[5dClE],"n.元, 美元"
door,[dC:; dCE],"n.门, 通道, 家, 户"
double,[5dQbl],"n.两倍, [计] 双精度型//adj.两倍的, 双重的//vt.使加倍//vi.加倍, 快步走, 加倍努力"
doubt,[daut],"n.怀疑, 疑惑, 疑问//v.怀疑, 不信, 拿不准, <古>恐怕"
down,[daun],"adj.向下的//adv.向下, 在下面, 下去, 降下//prep.往下, 沿着//n.绒毛, 软毛, 开阔的高地"
downhill,[5daunhil],"adj.下坡的, 倾斜的//adv.往下, 每况愈下"
downstairs,[daun5steEz],"adv.在楼下, 往楼下, 下楼"
downtown,[5dauntaun],"adv.在市区, 往市区//adj.市区的"
downward,[5daunwEd],adj.向下的
dozen,[5dQzn],"n.一打, 十二个"
dozens of,[],许多的
draw,[drC:],"v.拉, 曳, 牵, 画, 绘制, 拖曳//vt.汲取, 领取, 提取, 引起, 吸引//vi.向...移动, 挨近//n.平局, 和局, 拖曳"
drawer,[5drC:E],"n.抽屉, 画家, 制图员, (用复数)衬裤、内裤"
drawing,[5drC:iN],"n.图画, 制图, 素描术"
dream,[dri:m],"v.做梦, 梦见, 梦想, 想到//n.梦, 梦想"
dream of,[],梦见...
dress,[dres],"n.女服, 童装, 服装, 衣服//v.(给...)穿衣"
drier,[5draiE],"n.干燥机, 干燥剂"
drill,[dril],"n.钻孔机, 钻子, 播种机, 军事训练, 操练, (反复)练习, 条播机//v.训练, 钻孔, 条播"
drink,[driNk],"n.饮料, 酒, 酗酒, 一口(或一些)饮料//v.喝, 喝酒, (植物、土壤等的)吸水, 举杯庆贺"
drive,[draiv],"n.驾车, 驱动器, 快车道, 推进力, 驱使, 动力, 干劲, 击球//vt.开车, 驱赶, 推动、发动(机器等), 驾驶(马车,汽车等)//vi.开车, 猛击, 飞跑//n.[计]驱动器"
drop,[drCp],"v.滴下, 落下, (使声音等)变弱, (使价格等)下降, 使跌倒, 使结束, 不再讨论, 停止与(某人)交往//n.落下, 下降, 滴, 滴剂, 点滴, 微量, 下跌"
drop in,[],"v.顺便走访, 不预先通知的拜访"
drown,[draun],"v.溺死, 淹死//vt.淹没"
drug,[drQg],"n.药, 麻药, 麻醉药, 滞销货//vi.<俗> 吸毒//vt.使服毒品, 毒化"
drum,[drQm],"n.鼓, 鼓声, 鼓形圆桶, [解]鼓膜, 鼓室//vi.击鼓, 作鼓声//vt.打鼓奏"
drunk,[drQNk],adj.喝醉了的//vbl.drink 的过去分词
dry,[drai],"adj.干的, 干燥的, 口渴的//vt.(使)干燥, (使)变干//v.干燥"
ducat,[5dQkEt],"n.从前流通于欧洲各国的钱币达克特, 硬币"
duck,[dQk],"n.鸭子, 急忙蹲下, 闪避, <俚> 人, 家伙//vi.没入水中, 闪避//vt.猛按...入水, 躲避"
due,[dju:],"n.应得物、权力, [复]应付款//adj.应得的, 应付的, 正当的, 预期的, (车、船预定)应到的"
duke,[dju:k],"n.公爵<俚> 手, 拳头"
dull,[dQl],"adj.感觉或理解迟钝的, 无趣的, 呆滞的, 阴暗的//vt.使迟钝, 使阴暗, 缓和//vi.变迟钝, 减少"
during,[5djuEriN],"prep.在...的期间, 在...的时候"
dust,[dQst],"n.灰尘, 尘土, 尘埃//vt.掸掉...上的灰尘, 撒糖于糕上"
dusty,[5dQsti],"adj.满是灰尘的, 积满灰尘的, 粉末状的, 含糊的"
duty,[5dju:ti],"n.义务, 责任, 职责, 职务, 税"
e.g.,[],例如 =for example
each,[i:tF],"adj.各自的, 每个的, 每一//pron.各, 各自, 每个//adv.每个"
each other,[],"adv.彼此, 互相"
eager,[5i:gE],"adj.热心于, 渴望着"
ear,[iE],"n.耳朵, 倾听, 听觉, 听力, 穗//vi.抽穗"
early,[5E:li],"adj.早的, 早熟的, 及早的, 早先的, 早期的//adv.早, 在初期"
earn,[E:n],"vt.赚, 挣得, 获得//v.赚得, 获得"
earn one's living,[],谋生
earth,[E:W],"n.地球, 陆地, 泥土, 洞穴, 地球上的人类, 尘世, [电]接地//vt.埋入土中, 把...赶入洞内, 把...接地//vi.躲入洞内"
earthquake,[5E:Wkweik],"n.地震, [喻]在震荡, 在变动"
east,[i:st],"n.东方, 东, 东部地区//adj.东方的, 从向东来的//adv.在东方, 向东方, 朝东方"
eastern,[5i:stEn],"adj.东方的, 东部的"
easy,[5i:zi],"adj.容易的, 安逸的, 舒适的, 宽裕的, 小康的, 从容的, 宽容的, 流畅的//adv.不费力的, 轻松, 悠闲, 慢慢地//n.短暂的休息"
easy-going,[],adj.随和的
eat,[i:t],"v.吃, 腐蚀"
eat up,[],"v.吃光, 耗尽, 吞灭, 完全相信"
edge,[edV],"n.刀口, 利刃, 锋, 优势, 边缘, 优势, 尖锐//vt.使锋利, 挤进, 镶边, 开刃//vi.缓缓移动, 侧着移动"
edition,[i5diFEn],"n.版本, 版"
editor,[5editE],"n.编辑, 编辑器, 编者"
educate,[5edju(:)keit],"vt.教育, 训练, 培养//v.教育"
education,[7edju(:)5keiFEn],"n.教育, 训导, 训练, 培养, 教育学"
effect,[i5fekt],"n.结果, 效果, 作用, 影响, (在视听方面给人流下的)印象//vt.招致, 实现, 达到(目的等) 侧着移动"
effort,[5efEt],"n.努力, 成就"
eight,[eit],"adj.八的//num.八, 八个, 第八//n.八字形"
either,[5aiTE(r)烁? 第八],"adj.任一的, (两方中的)每一方的//pron.任一, 随便任一个//conj.或者, 也"
either...or,[],或者…或者；不是…就是
elder,[5eldE(r) 老人; 父辈adj.年长的; 资格老的],"n.年长者, 老人, 父辈//adj.年长的, 资格老的"
electric,[i5lektrik],"adj.电的, 导电的, 电动的, 电气"
electrical,[i5lektrik(E)l],"adj.电的, 有关电的"
electricity,[ilek5trisiti],"n.电流, 电, 电学"
electronic,[ilek5trCnik],adj.电子的
elephant,[5elifEnt],"n.象, 一种纸张的尺寸"
eleven,[i5levEn],n.十一
else,[els],"adj.别的, 其他的//adv.另外, 其他"
employ,[im5plCi],"vt.雇用, 用, 使用//v.使用//n.雇用"
empty,[5empti],"adj.空的, 空洞的, 空虚的//vt.使成为空的, 倒空//v.倒空//adj.空的,空闲的//v.腾空, 腾出来"
encourage,[in5kQridV],"vt.鼓励, 怂恿//v.鼓励, 鼓励"
encouragement,[in5kQridVmEnt],"n.鼓励, 奖励"
end,[end],"n.末端, 尽头, 结束, 目标, 限度, 梢, 末端, 死亡//v.结束, 终结, 终止"
end up,[],"v.竖着, 结束, 死"
endeavour,[in5devE],"n.<英>尽力,竭力"
endless,[5endlis],"adj.无止境的, 无穷的"
enemy,[5enimi],"n.敌人, 仇敌, [集合名词]敌军, [喻]大敌//adj.敌人的, 敌方的"
energetic,[7enE5dVetik],"adj.精力充沛的, 积极的"
energy,[5enEdVi],"n.精力, 精神, 活力, [物]能量"
engine,[5endVin],"n.发动机, 机车, 火车头"
engineer,[7endVi5niE],"n.工程师, 技师, 火车司机, 轮机员, 工兵"
enjoy,[in5dVCi],"vt.享受...的乐趣, 欣赏, 喜爱//v.满意"
enjoy oneself,[],v.过得快乐
enjoyable,[in5dVCiEb(E)l],"adj.令人愉快的, 可享受的"
enlarge,[in5lB:dV],"v.扩大, 放大"
enough,[i5nQf],"adj.足够的, 充足的, 只够做...的//n.充足, 足够, 很多//adv.足够地, 充分地//int.够了!"
enter,[5entE],"vt.进入, 加入, 参加, 登录, 开始//vi.进去, [戏]登场, 参加//n.输入, [计]回车"
entire,[in5taiE],"adj.全部的, 完整的, 整个"
entrance,[in5trB:ns],"n.入口, 门口, 进入"
entry,[5entri],"n.登录, 条目, 进入, 入口, [商]报关手续, [律]对土地的侵占, 对房屋的侵入"
envelope,[5envilEup],"n.信封, 封套, 封袋, [天]包层, [数]包迹, [生]包膜"
environment,[in5vaiErEnmEnt],"n.环境, 外界"
envy,[5envi],"n.vt.羡慕, 嫉妒"
equal,[5i:kwEl],"adj.相等的, 均等的, 胜任的, 平静的, 合适的, 不相上下的//n.相等的事物(或数量), 对手, 匹敌, 同辈//vt.等于, 比得上"
equality,[i(:)5kwCliti],"n.等同性, 同等, 平等, 相等, 等式"
equally,[5i:kwEli],"adv.相等地, 平等地, 公平地"
equipment,[i5kwipmEnt],"n.装备, 设备, 器材, 装置, 铁道车辆, (一企业除房地产以外的)固定资产, 才能"
escape,[is5keip],"n.逃, 逃亡, 溢出设备, 出口, 逃跑, [植]野生//vi.逃脱, 避开, 溜走//vt.逃避, 避免, 被忘掉"
especially,[is5peFEli],"adv.特别, 尤其"
etc,[],"adv.<拉>及其他, 等等"
even,[5i:vEn],"adj.平的, 平滑的, 偶数的, 一致的, 平静的, 恰好的, 平均的, 连贯的//adv.[加强语气]甚至(...也), 连...都, 即使, 恰好, 正当//vt.使平坦, 使相等//vi.变平, 相等//n.偶数, 偶校验"
even if\though,[],即使；纵然
evening,[5i:vniN],"n.傍晚, 晚间, 后期, (联欢性的)晚会"
event,[i5vent],"n.事件, 事变, 结果, 活动, 精力, 竞赛"
ever,[5evE],"adv.曾经, 永远, 不断地, 在任何时候, 究竟"
ever since,[],adv.从那时到现在
every,[5evri],"adj.每一的, 每个的, 全部的, 每隔...的"
every two years,[],每两年
everybody\everyone,[],pron.每人；人人
everyday,[5evridei],"adj.每天的, 日常的, 平常的, 平凡的"
everything,[5evriWiN],"pron.每件事物, 万事"
everywhere,[5evrihwZE],"adv.各处, 到处"
exact,[ig5zAkt],"adj.精确的, 准确的, 原样的, 精密的, 严格//vt.强求, 急需, 要求"
exactly,[ig5zAktli],"adv.正确地, 严密地"
examination,[ig7zAmi5neiFEn],"n.考试, 检查, 细查"
examine,[ig5zAmin],"v.检查, 调查, 考试"
example,[ig5zB:mpl; ig5zAm-],"n.例子, 实例, 例题, 范例, 榜样, 鉴戒, 实例"
excellent,[5eksElEnt],"adj.卓越的, 极好的"
except,[ik5sept],"vt.除, 把...除外, 反对, 不计//vi.反对//prep.除了...之外, 若不是, 除非//conj.只是, 要不是"
excite,[ik5sait],"vt.刺激, 使兴奋, 使激动//vi.<口>兴奋, 激动"
excited,[ik5saitid],兴奋的
exciting,[ik5saitiN],"adj.令人兴奋的, 使人激动的"
excuse,[iks5kju:z],"vt.原谅, 申辩, 做为...的托辞, 为...免去//n.饶恕, 致歉, 理由, 口实, 借口, 清借条, 免去"
exercise,[5eksEsaiz],"n.练习, 习题, 训练, 锻炼, 演习//v.训练, 锻炼//vt.行使, 使担扰"
exhibition,[7eksi5biFEn],"n.表现, 展览会, 展览品, 显示"
exist,[ig5zist],"vi.存在, 生存, 生活, 继续存在"
existence,[ig5zistEns],"n.存在, 实在, 生活, 存在物, 实在物"
exit,[5eksit; -zit],"n.出口, 太平门, 退场, 去世//vi.退出, 脱离, 去世//[计]  离开当前命令行外壳"
expect,[iks5pekt],"vt.期待, 预期, 盼望, 指望, <口>(料)想, 认为"
expedition,[7ekspi5diFEn],"n.远征, 探险队, 迅速, 派遣"
expense,[ik5spens],"n.费用, 代价, 损失, 开支, 费钱之物"
expensive,[iks5pensiv],"adj.花费的, 昂贵的"
experience,[iks5piEriEns],"n.vt.经验, 体验, 经历, 阅历"
experiment,[iks5perimEnt],"n.实验, 试验//vi.进行实验, 做试验"
expert,[5ekspE:t],"n.专家, 行家, [军](特等)射手//adj.老练的, 内行的, 专门的//vt.在...中当行家, 当专家"
explain,[iks5plein],"v.解释, 说明"
explanation,[7eksplE5neiFEn],"n.解释, 解说, 说明, 辩解, 互相讲明"
explode,[iks5plEud],"vt.使爆炸//vi.爆炸, 爆发, 破除, 推翻, 激发"
exploit,[iks5plCit],"vt.开拓, 开发, 开采, 剥削, 用以自肥//v.使用"
explorer,[iks5plC:rE; eks-],"[计]Windows资源管理器//n.探险家, 探测者, 探测器"
export,[5ekspC:t],"vt.输出//n.出口货, 输出, 出口, 出口商品//v.出口"
express,[iks5pres],"adj.急速的, 特殊的, 明确的//n.快车, 快递, 专使//vt.表达, 表示//adv.乘快车, 以快递方式"
expression,[iks5preFEn],"n.表达, 表情, 脸色, 声调, 腔调, 榨出, 语法, 措辞//n.[数] 式, 表达式, 符号"
extra,[5ekstrE],"adj.额外的, 不包括在价目内的, 特大的, 特佳的//adv.特别地, 非常, 另外//n.额外的人(或物), (报纸)号外, 上等产品, (电影)临时演员"
extraordinary,[iks5trC:dnri; iks5trC:dinEri],"adj.非常的, 特别的, 非凡的, 特派的"
extremely,[iks5tri:mli],"adv.极端地, 非常地"
eye,[ai],"n.眼睛, 视力, 眼光, 观点, 见解, 眼状物, 风吹来的方向, [气]风眼//vt.看, 注视, 在...上打眼"
face,[feis],"n.脸, 面容, 表情, 威信, 正面, 地形, 外观//vt.面对, 面向, 面临, 承认, 抹盖//vi.朝, 向"
face to face,[],adv.面对面地
fact,[fAkt],"n.事实, 实际, 实情, 真相, (犯罪)行为, 论据"
factory,[5fAktEri],"n.工厂, 制造厂, 商住花园外的代理"
fade,[feid],"vi.(声音等)减弱下去, 褪色, 消失, 枯萎, 凋谢//vt.使褪色//n.淡入, 淡出//adj.乏味的, 平淡的"
fail,[feil],"vi.失败, 不及格, 忘记//vt.使失望, 舍弃, 辜负, 不及格//n.不及格, 不及格者"
failure,[5feiljE],"n.失败, 失败者, 缺乏, 失灵, 故障, 破产, 疏忽, <美>不及格"
fair,[fZE],"adj.美丽的, 女性的, (肤色)白皙的, (头发)金黄的, 干净的, 公平的, (天气)晴朗的//adv.公平地, 公正地, 直接地, 清楚地//n.美好的事物, 美人, 展览会, 市集//vi.转晴"
fairly,[5fZEli],"adv.公正地, 正当的, 公平对待某人, 公平地, 相当地, 还算, 清楚地"
fairness,[5fZEnis],"n.公平, 正直, 美好, 明亮, 清晰, 适当, 顺利性"
faith,[feiW],"n.信任, 信念, 宗教信仰, 忠实, 保证, 诺言, 约定"
fall,[fC:l],"n.秋天, 落下, 瀑布, 降低, 落差, 采伐量, 堕落, 下降//vi.倒下, 落下, 来临, 失守, 变成, 垮台, 下跌, 阵亡//vt.<美><英方>击倒, 砍倒(树木)//adj.秋天的"
fall asleep,[],"v.入睡, 长眠, 懈怠, 静止不动"
fall ill,[],生病
fall in love with,[],v.爱上
fall off,[],"v.下降, 跌落, 减少, 衰退, 离开"
fall over,[],"落在...之上, 脸朝下跌倒"
fall to pieces,[],破碎
false,[fC:ls],"adj.错误的, 虚伪的, 假的, 无信义的, 伪造的, 人工的, 不老实的//adv.欺诈地"
familiar,[fE5miljE],"adj.熟悉的, 常见的, 听惯的, 亲近的, 随便的//n.密友, 熟客, 常客"
family,[5fAmili],"n.家庭, 家族, 家属, 亲属, 子女, 僚属//adj.家庭的, 家族的"
famous,[5feimEs],"adj.著名的, 出名的, <口>极好的, 令人满意的"
fan,[fAn],"n.扇子, 鼓风机, 风扇, 迷, 狂热者, 爱好者//vt.煽动, 刺激, 扇, 吹拂//vi.飘动, 成扇形散开"
far,[fB:],"adj.(常用于书面语)远的, 久远的, 遥远的//adv.(表示空间或时间上的距离)远, 很远, 遥远地, 久远地, 甚远地, 很, 很晚地//n.远处, 远方"
far away,[],"遥远, 深远"
far from,[],"adv.远离, 远非, 远远不, 完全不, 非但不"
farm,[fB:m],"n.农场, 农庄, 农田//vt.耕种//vi.种田, 务农, 经营农场, 从事畜牧"
farmer,[5fB:mE],"n.农夫, 百姓, 农民, 农场主, 承包主, 牧场主, 畜牧者"
farming,[5fB:miN],"n.耕作, 农业, 农事, 畜牧"
farmland,[`fB:mlAnd],n.农田
farther,[5fB:TE],"adj.更远的, 进一步的//adv.更远地, 再往前地, 此外, far 的比较级"
fast,[fB:st],"adj.紧的, 牢的, 忠实的, 快速的, 耐久的, 紧的//adv.牢固地, 很快地, 紧紧地, 彻底地//n.禁食, 绝食, 斋戒//vi.绝食, 斋戒"
fasten,[5fB:sn],"vt.扎牢, 扣住, 闩住, 拴紧, 使固定, 系, 集中于, 强加于//vi.扣紧, 抓住"
fat,[fAt],"n.脂肪, 肥肉//adj.肥大的, 丰满的, 肥的, 胖的, 油腻的//n.文件分配表//vt.养肥, 在...中加入脂肪//vi.长肥"
father,[5fB:TE],"n.父亲, 岳父, 公(丈夫的父亲), 祖先, 前辈, 长辈, 神父, 创始者//vt.当...的父亲, 保护, 创立, 治理, 发明, 培养"
fault,[fC:lt],"n.过错, 缺点, 故障, 毛病//vt.挑剔//vi.弄错"
favo(u)r,[],n.恩惠；好意；帮助
favo(u)rite,[],n.特别喜爱的人(或物) a.喜爱的
fax,[fAks],n.vt.传真
fear,[fiE],"n.恐怖, 害怕, 担心, 敬畏//v.害怕, 畏惧, 为...担心, 敬畏(神等) 承"
feather,[5feTE],"n.翎毛, 轻的东西, 羽毛//vi.长羽毛//vt.用羽毛装饰, 射掉(飞禽)的羽毛"
feed,[fi:d],"n.饲养, 饲料, (动物或婴儿的)一餐//vt.喂养, 饲养, 放牧, 靠...为生//vi.吃东西, 流入"
feel,[fi:l],"vt.摸, 触, 试探, 感觉, 觉得, 触摸, 以为//vi.有知觉, (人)有某种感觉, 摸索, 同情//n.感觉, 觉得, 触摸"
feel like doing,[],觉得想做…
feeling,[5fi:liN],"n.触觉, 知觉, 感觉, 情绪, 同情//adj.富于感情的, 富于同情心的, 衷心的, 有同情心的, 有感觉的, 仁慈的"
fellow,[5felEu],"n.人, 家伙, 伙伴, 学会特别会员, 朋友, 同事//adj.同伴的, 同事的, 同道的"
female,[5fi:meil],"n.女性, 女人, 雌兽//adj.女性的, 女子的, 妇女的, 雌的, 柔弱的, (声, 色)柔和的"
fence,[fens],"n.栅栏, 围墙, 剑术//vt.用篱笆围住, 练习剑术, 防护//vi.击剑, 围以栅栏, 跳过栅栏, 搪塞"
fetch,[fetF],"vt.接来, 取来, 带来, 售得, 引出, 吸引, 到达, 演绎出//vi.取物, 绕道而行n.取得, 拿, 诡计, 魂"
fever,[5fi:vE],"n.发烧, 发热, 热病, 狂热, 高度兴奋//v.(使)发烧, (使)患热病, (使)狂热"
few,[fju:],"adj.很少的, 不多的, 少数的//n.[表示否定]很少数, 几乎没有"
fibre,[5faibE],"n.纤维, 构造, 纤维制品, [植]须根"
field,[fi:ld],"n.原野, 旷野, 领域, (一块)田地, 牧场, 域, 战场, 运动场//vt.把(谷物等)暴晒于场上, 使上场//vi.担任场外队员//adj.田间的, 野生的, 野外的, 田赛的//扫描场"
fierce,[fiEs],"adj.凶猛的, 猛烈的, 热烈的, 暴躁的<美>极讨厌的, 难受的, <英方>精力旺盛的"
fiercely,[`fiEsli],"adv.猛烈地, 厉害地"
fifteen,[5fif5ti:n],adj.十五
fifth,[fifW],adj.第五的
fifty,[5fifti],adj.五十
fight,[fait],"n.打架, 战斗, 斗志//vi.打仗, 搏斗, 对抗, 打架//vt.与...打仗, 指挥战斗, 反对...提案"
figure,[5figE],"n.外形, 轮廓, 体形, 图形, 画像, 数字, 形状, 身份//vt.描绘, 塑造, 表示, 象征, 演算, 认为//vi.出现, 考虑, 出名, 扮演角色"
fill,[fil],"vt.装满, 注满, 充满, 填充, 弥漫, 供应, 供给, 满足//vi.充满//n.满足, 饱, 充分, 填方//v.填充"
fill in,[],"v.填充, 填写, 填满, 替代"
film,[film],"n.薄膜, 膜层, 胶卷, 影片, 薄雾, 轻烟, 电影//vt.在...上覆以薄膜, 拍成电影//vi.生薄膜, 变成朦胧, 拍电影"
film-maker,[],n.电影制作人
final,[5fainEl],"n.结局, 决赛, 期末考试, <口>报纸(在一天中)最晚版//adj.最后的, 最终的, 决定性的"
finally,[5fainEli],"adv.最后, 终于, 不可更改地, 决定性地"
find,[faind],"vt.找到, 发现, 感到, 查明, 得到, 认为, 见到...的存在//vi.裁决//n.发现//[计] 在文件中查找指定的字符串"
find out,[],"v.找出, 发现, 查明(真相等), 认识到, 想出, 揭发"
fine,[fain],"adj.美好的, 优良的, 杰出的, 精美的, 杰出的, 细, 纤细, 纯粹//n.罚款, 罚金, 晴天, 精细//vt.罚款, 精炼, 澄清//vi.变清, 变细//adv.<口>很好, 妙, [常用于构成复合词]细微地, 精巧地"
fine rain,[],*细雨
finger,[5fiNgE],"n.手指(尤指大拇指以外的手指), 指状物, 指针//v.用手指拨弄, 伸出"
finish,[5finiF],"n.完成, 结束, 磨光, 末道漆, 完美//vt.完成, 结束, 用完, 毁掉, 使完美//vi.结束, 终结, 停止, 终止"
fire,[5faiE],"n.火, 炉火, 火灾, 失火, 闪光, 炮火, 热情, 激情//vt.点燃, 烧制, 使发光, 给(炉子等)加燃料, 放枪, 激动, <口>解雇//vi.开枪, 射击, 着火, 烧火, 激动"
fire alarm,[],"n.火警, 报火机, 警钟"
fire escape,[],防火梯
firefighter,[],*n.消防人员
firewood,[],"n.木柴, 柴火"
firm,[fE:m],"n.公司, (合伙)商号//adj.结实的, 坚硬的, 坚定的, 坚固的, 牢固的, 稳固的, 严格的//vt.使牢固, 使坚定//vi.变稳固, 变坚实//adv.稳固地, 坚定地"
firmly,[5fE:mli],"adv.坚定地, 稳固地"
