a la mode,[B:lB:5mEud],"adj.流行的,时髦的,加冰淇淋的",
casualty,[5kAVjuElti],n.伤亡, 
catalyst,[5kAtElist],n.催化剂, 
catalytic,[7kAtE5litik],adj.接触反应的, 
catastrophe,[kE5tAstrEfi],"n.大灾难,大祸", 
catastrophic,[AkAtE`strCfik],"adj.悲惨的,灾难的", 
categorical,[7kAti5gCrikEl],"adj.无条件的,绝对的,直接了当的(陈述、理论等)", 
categorize,[5kAtigEraiz],"v.加以类别,分类", 
category,[5kAtigEri],"n.种类,别,[逻]范畴", 
cater,[5keitE],"vi.备办食物,满足(需要),投合", 
caterpillar,[5kAtEpilE],n.毛虫, 
cauliflower,[5kC:liflauE],n.[植]花椰菜, 
causal,[5kC:zEl],"adj.原因的,因果关系的,表示原因或理由的;n.表示原因的词(如连词)", 
causality,[kC:5zAliti],n.因果关系, 
cavalcade,[7kAvEl5keid],n.队伍, 
cavalry,[5kAvElri],n.骑兵,可以看出caval有“骑马”之意。 
caveat,[5keiviAt],"n.[律]中止诉讼手续的申请,警告,告诫", 
caveman,[],n.-men（史前石器时代的）穴居人；野人, 
cavern,[5kAvEn],"n.巨洞,洞窟,深处;vt.放于山洞中,挖空",来自cave（洞） 
cavernous,[5kAvEnEs],adj.似巨穴的, 
cavity,[5kAviti],"n.洞,空穴,[解剖]腔", 
cease,[si:s],"v.停止,终了", 
ceaseless,[5si:slis],"adj.不停的,不断的", 
ceaselessly,[],"adv.不停地,不断地", 
cedar,[5si:dE],n.雪松, 
celebrated,[5selibreitid],adj.著名的,celebr（有名的）＋ate→使有名→庆祝、赞美 
celebrity,[si5lebriti],"n.名声,名人", 
celerity,[si5leriti],"n.敏捷,快速",celer（速度）＋ity．*同根词：accelerate（加速） 
celery,[5selEri],"n.[植]旱芹,芹菜", 
cellar,[5selE],"n.地窖,地下室,酒窖,藏酒量",分割*记忆：cell（细胞、小屋）＋ar，比较：cello（大提琴）cellular（细胞的，多孔的）． 
cemetery,[5semitri],"n.墓地,公墓",cemet（睡）＋ery→（死后）睡的地方→坟墓联想：cement（水泥），用水泥造坟墓（Usecementtobuildcemetery）。 
censor,[5sensE],"n.检查员;vt.检查,审查",cens（评估）＋or→评估之人→检查员*同根词：censure（指责，非难） 
censorship,[5sensEFip],"n.审查机构,审查制度", 
censure,[5senFE],v.责难;n.责难,cens（评价）＋ure→坏评价→指责 
census,[5sensEs],n.人口普查, 
centenarian,[7senti5nZEriEn],n.百岁或逾百岁以上的人;adj.百岁或逾百岁以上的, 
centenary,[sen5ti:nEri],n.一百年;adj.一百年的, 
ceramic,[si5rAmik],adj.陶器的;n.陶瓷制品,分割*记忆ceramics，ram意为“公羊”。 
ceramics,[si5rAmiks],"n.制陶术,制陶业",分割*记忆ceramics，ram意为“公羊”。 
cereal,[5siEriEl],"n.谷类食品,谷类",分割*记忆：cereal，“真正的好东西”→食品。 
cerebral,[5seribrEl],"adj.脑的,大脑的",cerebr（脑）＋al→脑的*参考：celebrated（著名的） 
cerebrum,[5seribrEm],n.大脑, 
certainty,[5sE:tEnti],"n.确定,确实的事情", 
certifiable,[5sE:tifaiEbl],"adj.可保证的,可证明的,可确认的", 
certify,[5sE:tifai],"v.证明,保证", 
champagne,[FAm5pein],"n.香槟酒,香槟色", 
chancellor,[5tFB:nsElE],"n.长官,大臣", 
chaos,[5keiCs],"n.混乱,混沌(宇宙未形成前的情形)", 
chaotic,[kei5Ctik],"adj.混乱的,无秩序的", 
chapel,[5tFApEl],"n.小礼拜堂,礼拜", 
chaplain,[5tFAplin],n.(私人、社团、医院、监狱、贵族、私人教堂、军中等的)牧师, 
characterization,[7kAriktErai5zeiFEn],"n.描述,人物之创造", 
characterize,[5kAriktEraiz],"vt.表现...的特色,刻画的...性格", 
charcoal,[5tFB:kEul],n.木炭, 
chariot,[5tFAriEt],n.战车, 
charisma,[kE5rizmE],"n.超凡魅力,感召力,教皇般的指导力", 
charitable,[5tFAritEbl],"adj.仁慈的,(为)慈善事业的,宽恕的",分割联想：char（英国口语“茶”，中国字音译＋ity，“请喝茶→施舍→仁慈”。 
charlatan,[5FB:lEtEn],n.吹牛者,意大利有个地方叫“Charlat”，专买假药并出江湖郎中（quack），所以叫charlatan． 
charter,[5tFB:tE],"vt.租,包(船、车等);n.宪章",来自chart（航图，图表） 
chauffeur,[5FEufE],n.<法>司机, 
chauvinism,[5FEuvinizEm],"n.盲目的爱国心,沙文主义",来自一剧中人名：Chauvin，因其过份的爱国主义和对拿破仑的忠诚而闻名。 
chauvinist,[5FEuvinist],n.盲目的爱国者, 
check,[tFek],"n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单;vt.检查,制止,核对,寄存,托运;vi.证明无误,核对无误,逐项相符,[象棋]将军", 
checkout,[5tFekaut],"检验,校验", 
checkpoint,[5tFekpCint],"n.检查站,车站的行李房", 
checkup,[5tFekQp],"n.审查,检查,鉴定,身体检查", 
cheekbone,[],"n.颊骨,颧骨", 
chef,[Fef],n.厨师, 
cherish,[5tFeriF],"vt.珍爱,怀抱(希望等)", 
chestnut,[5tFestnQt],n.栗子, 
chide,[tFaid],"v.斥责,责骂",和child一起*记(chideachild) 
chill,[tFil],"n.寒意,寒战,寒心;adj.寒冷的,扫兴的;v.使冷,变冷,冷藏", 
chilly,[5tFili],adj.寒冷的, 
chilly,[5tFili],adj.寒冷的, 
chime,[tFaim],"n.一套发谐音的钟(尤指教堂内的),和谐;vi.鸣,打,和谐;vt.敲出和谐的声音,打钟报时", 
chimpanzee,[5tFimpEn5zi:],"n.[动]非洲的小人猿,黑猩猩", 
chip,[tFip],"n.碎片,筹码;v.削成碎片,碎裂;芯片",archi（多）＋pelago（海）→海中的东西→群岛也可用分割*记忆：archipelago 
chit,[tFit],"n.小孩,(活泼的)少女,芽;vt.摘去芽",bronch（气管）＋itis*同根词：bronchus（支气管） 
chivalrous,[5FivElrEs],adj.有武士风度的，侠义的, 
chivalry,[5FivElri],"n.骑士精神,骑士制度",chival=caval(骑马)+rous→骑马的→勇武的 
choke,[tFEuk],"v.窒息,哽住,使呼吸困难,阻塞;n.窒息,阻气门", 
cholesterol,[kE5lestErEul7-rCl],n.胆固醇, 
choral,[kC5rB:l],adj.合唱队的, 
chore,[tFC:],n.家务杂事,chore(歌舞)+graphy(写)→为歌舞编排动作*同根词：chorus(合唱队，歌舞团) 
chorus,[5kC:rEs],"n.合唱,合唱队,齐声", 
chromatic,[krE5mAtik],adj.彩色的,chrom(颜色)+atic→彩色的*同根词：chromatron(彩电显像管) 
chronic,[5krCnik],"adj.慢性的,延续很长的", 
chronically,[],"adv.慢性地,习惯性地,长期地", 
chronicle,[5krCnikl],n.编年史;v.编入编年史, 
chronological,[7krCnE5lCdVikEl],adj.按年代顺序排列的, 
chronology,[krE5nClEdVi],"n.年代学,年表", 
chrysanthemum,[kri5sAnW7EmEm],n.菊花, 
chuckle,[5tFQkl],"n.吃吃的笑声;vi.吃吃的笑,咯咯叫",比较：chortle(哈哈大笑) 
chunk,[tFQNk],"n.大块,矮胖的人或物", 
cider,[5saidE],n.苹果酒, 
cigar,[si5gB:],n.雪茄, 
cinch,[sintF],"n.(束马鞍用的)肚带,<俗>紧握,<俚>容易做的,有把握的事情;vt.系肚带,紧握住,抓牢", 
circadian,[sE:5keidiEn],"adj.生理节奏的,以24小时为周期的", 
circuit,[5sE:kit],"n.电路,一圈,周游,巡回",circuit(绕圈)+ous→迂回的，circuit本身是个单词，意为“圆，电路”。*参考：circlet(小环)，circular(传单，公告) 
circular,[5sE:kjulE],"adj.圆形的,循环的;n.函件;通知", 
circularity,[7sE:kju5lAriti],n.环状, 
circulate,[5sE:kjuleit],"v.(使)流通,(使)运行,(使)循环,(使)传播", 
circulation,[7sE:kju5leiFEn],"n.循环,流通,发行额", 
circulatory,[s :kju5leitEri;(uF)5s :kjElEtC:ri],adj.循环的, 
circumference,[sE5kQmfErEns],"n.圆周,周围", 
circumscribe,[5sE:kEmskraib77sE:kEm5skraib],"vt.在...周围画线,限制", 
circumscription,[7sE:kEm5skripFEn],n.界限, 
citation,[sai5teiFEn],n.引用, 
cite,[sait],"vt.引用,引证,提名表扬",in（进入）＋cite（唤起）→唤起情绪→激发*同根词：excite（兴奋），recite（背诵） 
civic,[5sivik],"adj.市的,市民的,公民的", 
civilian,[si5viljEn],"n.平民,公务员,文官;adj.民间的,民用的", 
civilize,[5sivilaiz],"vt.使开化,使文明,教化", 
clamorous,[5klAmErEs],adj.大喊大叫的,clam(喊)+our*同根词：proclamation(宣言)，reclaim(回收，开垦) 
clamour,[5klAmE],"n.喧闹;v.吵闹,叫喊", 
clamp,[klAmp],"n.夹子,夹具,夹钳;vt.夹住,夹紧","*参考clam一起*记(clamptheclamwithaclamp,用钳子夹紧毛蚶). "
clang,[klAN],n.叮当声;v.(使)叮当地响, 
clap,[klAp],"n.拍手声,霹雳声;v.鼓掌,轻拍",clap(拍，打)+per→打(响)的东西→响板，铃舌 
clarification,[7klArifi5keiFEn],"n.澄清,净化", 
clarify,[5klArifai],"v.澄清,阐明", 
clash,[klAF],"n.冲突,撞击声,抵触;v.(使)发出撞击声,猛撞,冲突",比较：crush(压坏，压碎) 
clasp,[klB:sp],"n.扣子,钩,紧握,抱住;v.扣紧,紧握,搂抱,密切合作", 
classic,[5klAsik],"n.杰作,名著;adj.第一流的", 
classical,[5klAsikEl],"adj.古典的,正统派的,古典文学的", 
classically,[],"adv.古典主义地,拟古地", 
classification,[7klAsifi5keiFEn],"n.分类,分级",class(级别)+ify→分出级别→分类 
classify,[5klAsifai],"vt.分类,分等", 
clatter,[5klAtE],"n.咔嗒,哗啦声,嘈杂的谈笑声;vi.发出哗啦声,喧闹的谈笑;vt.使卡搭卡搭的响", 
clause,[klC:z],"n.子句,条款", 
cleanse,[klenz],v.纯净, 
clearance,[5kliErEns],n.清除, 
cleave,[kli:v],"v.劈,劈开,裂开vi.粘着,忠于,坚持", 
clench,[klentF],"n.牢牢抓住,钉紧,敲弯的钉头;v.紧握,(拳头)牢牢地抓住,确定,敲弯;vi.握紧,钉牢", 
clergy,[5klE:dVi],"n.(集合称)圣职者,牧师,僧侣,神职人员", 
clergyman,[5klE:dVimEn],"n.牧师,教士", 
clerical,[5klerikEl],"adj.牧师的,书记的;n.牧师", 
click,[klik],v.发出滴答声;n.滴答声, 
client,[5klaiEnt],"n.[计]顾客,客户,委托人",来自client(当事人，顾客)，clientele是集合名词。 
clientele,[7kli:B:n5teil],"n.诉讼委托人,客户",来自client(当事人，顾客)，clientele是集合名词。 
climatic,[klai5mAtik],adj.气候上的, 
climax,[5klaimAks],"n.高潮,顶点", 
cling,[kliN],"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)", 
clinical,[5klinikEl],"adj.临床的,病房用的", 
cloakroom,[5klEukru:m],"n.(剧场等)衣帽间,(车站等)行李站暂存处,<英>盥洗室,便所", 
clog,[klCg],"n.木底鞋,障碍;v.障碍,阻塞",来自诗人维吉尔的诗歌集“Eclogue”，估计来自ec（环境）＋logue（说话）→关于环境的话→田园诗*参考：ecology（生态学） 
clone,[klEun],"n.无性系,无性繁殖,克隆;v.无性繁殖,复制",cycl（圆，转）＋one→转的东西→旋风*同根词：cyclamate（糖精），cyclopedic（百科全书的，广泛的） 
closure,[5klEuVE],n.关闭;vt.使终止,"美国人写作cloture,来自close. "
clot,[klCt],n.(血液等的)凝块;v.(使)凝结,比较：cloy(甜得发腻)，colt(小马) 
clout,[klaut],"n.敲打,轻叩,破布;vt.叩,敲一下", 
clown,[klaun],"n.小丑,粗鲁愚蠢的人", 
clumsy,[5klQmzi],adj.笨拙的, 
cluster,[5klQstE],"n.串,丛;vi.丛生,成群",clust=clot(凝成块)+er→凝块→成群 
clutch,[klQtF],"v.抓住,攫住;n.离合器", 
clutter,[5klQtE],n.混乱, 
coalition,[7kEuE5liFEn],"n.合并,接合,联合", 
coarse,[kC:s],"adj.粗糙的,粗鄙的", 
coax,[kEuks],"v.哄,耐心使...",*参考：hoax(欺骗)，同*记：coaxal(同轴的) 
cobble,[5kCbl],"n.圆石,鹅卵石;v.修,拙劣地修补",*参考：cobblestone(圆石块，鹅卵石) 
cocaine,[kE5kein],"n.古柯碱,可卡因", 
cockpit,[5kCkpit],"n.驾驶员座舱,战场", 
cockroach,[5kCkrEutF],n.蟑螂, 
cocktail,[5kCkteil],"n.鸡尾酒,(第一道用杯盛的)开味食品;adj.鸡尾酒的", 
coconut,[5kEukEnQt],n.椰子, 
code,[kEud],"n.代码,代号,密码,编码;v.编码",de＋code（密码）→去密 
codification,[7kCdifi5keiFEn],"n.法典编纂,法律成文化", 
codify,[5kCdifai75kEu-],"vt.编成法典,使法律成文化", 
coerce,[kEu5E:s],"vt.强制,强迫", 
coercion,[kEu5E:FEn],"n.强迫,威压,高压政治", 
coercive,[kEu5E:siv],"adj.强制的,强迫的", 
coffin,[5kCfin],n.棺材, 
cog,[kCg],"n.[机]嵌齿,小船;vt.上齿轮,欺骗", 
cogitate,[5kCdViteit],"v.思考,考虑", 
coil,[kCil],"v.盘绕,卷",re（重新）＋coil（卷，盘绕）→卷回去→退缩 
coincide,[7kEuin5said],"vi.一致,符合",co+in+cide(落下)→共同落下→巧合 
coincident,[kEu5insidEnt],"adj.一致的,符合的,巧合的", 
collaborate,[kE5lAbEreit],"vi.合作,通敌", 
collaboration,[kE7lAbE5reiFEn],"n.协作,通敌", 
collaborative,[kE`lAbEreitiv],"adj.合作的,协作的,协力完成的", 
collaborator,[kE`lAbEreitE(r)],n.合作者, 
collage,[kE5lB:V],n.抽象拚贴画(用报纸、布、压平的花等碎片拼合而成的),*参考：college(学院)，仅一字母之差 
collapse,[kE5lAps],"n.倒塌,崩溃,失败,虚脱;vi.倒塌,崩溃,瓦解,失败,病倒", 
colleague,[5kCli:g],"n.同事,同僚", 
collective,[kE5lektiv],adj.集体的;n.集体, 
collide,[kE5laid],"vi.碰撞,抵触", 
collision,[kE5liVEn],"n.碰撞,冲突",col+lide(受伤)→共同受伤→碰撞比较：collusion(串通，勾结) 
colloquial,[kE5lEukwiEl],"adj.口语的,通俗的", 
colloquially,[],"adv.用白话,用通俗语", 
collude,[kE5l(j)u:d],"vi.串通,勾结,共谋", 
colonial,[kE5lEunjEl],"adj.殖民的,殖民地的n.殖民地居民", 
colonialism,[kE5lEunjElizEm],n.殖民主义, 
colonialist,[kE`lEunjElist],n.殖民主义者;奉行殖民主义的国家, 
colonist,[5kClEnist],"n.殖民地居民,殖民者", 
colonization,[7kClEnai5zeiFEn],"n.殖民地化,殖民", 
colonize,[5kClEnaiz],"vt.拓殖,殖民", 
colony,[5kClEni],"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体", 
colossal,[kE5lCsl],"adj.巨大的,庞大的", 
colossus,[kE5lCsEs],"n.巨像,巨人", 
combat,[5kCmbEt],"n.战斗,格斗;v.战斗,搏斗,抗击", 
combustible,[kEm5bQstEbl],adj.易燃的, 
combustion,[kEm5bQstFEn],n.燃烧, 
comedian,[kE5mi:diEn],n.喜剧演员, 
comedy,[5kCmidi],"n.喜剧,喜剧性的事情", 
comet,[5kCmit],n.彗星, 
comic,[5kCmik],"n.滑稽演员;adj.滑稽的,喜剧的", 
commence,[kE5mens],"v.开始,着手", 
commencement,[kE5mensmEnt],"n.开始,毕业典礼",com(共同)+mence(说，做)→一起说，做→开始，倡导*同根词：mention(提到) 
commentary,[5kCmEntEri],"n.注释,解说词", 
commentate,[5kCmEn7teit],"vt.评论,解说;vi.评论时事", 
commentator,[5kCmenteitE],"评论员,讲解员", 
commerce,[5kCmE(:)s],n.商业, 
commercial,[kE5mE:FEl],"adj.商业的,贸易的", 
commercialize,[kE5mE:FElaiz],"v.使商业化,使商品化", 
commercially,[],"adv.商业上,通商上", 
commiserate,[kE5mizEreit],"v.怜悯,同情",com+miser(可怜)+ate→共同可怜→同情，*同根词：miserable(可怜的) 
commiseration,[kEAmizE`reiFEn],n.同情, 
commission,[kE5miFEn],"n.委任,委托,代办(权),代理(权),犯(罪),佣金;vt.委任,任命,委托,委托制作,使服役", 
commissioner,[kE5miFEnE],"n.委员,专员", 
commit,[kE5mit],"vt.犯(错误),干(坏事),把...交托给,提交,答应负责","com+mit(送send)→一起送给→把…交托给(commitachildtothecareofanursary),对方接受后便要承担责任，所以有“责任”一意。 "
commitment,[kE5mitmEnt],"n.委托事项,许诺,承担义务","com+mit(送send)→一起送给→把…交托给(commitachildtothecareofanursary),对方接受后便要承担责任，所以有“责任”一意。 "
commodity,[kE5mCditi],n.日用品,com+mod(样式)+ity→各种各样的东西→商品 
commonplace,[5kCmEnpleis],"n.平凡的事,平常话;adj.平凡的", 
communal,[5kCmjunl],"adj.公共的,公社的", 
communicate,[kE5mju:nikeit],"v.沟通,通信,(房间、道路、花园等)相通,传达,感染", 
communication,[kE7mju:ni5keiFn],"n.传达,信息,交通,通讯", 
community,[kE5mju:niti],"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落", 
commute,[kE5mju:t],"v.交换,抵偿,减刑,<电工>整流", 
commuter,[kE5mju:tE],"n.通勤者,经常往返者", 
compact,[5kCmpAkt],"adj.紧凑的,紧密的,简洁的;n.契约,合同,小粉盒", 
compactness,[kEm5pAktnis],"n.紧密,简洁", 
companion,[kEm5pAnjEn],"n.同伴,共事者", 
comparable,[5kCmpErEbl],"adj.可比较的,比得上的", 
comparative,[kEm5pArEtiv],"adj.比较的,相当的", 
comparison,[kEm5pArisn],"n.比较,对照,比喻,比较关系", 
compartment,[kEm5pB:tmEnt],"n.间隔间,车厢", 
compass,[5kQmpEs],"n.罗盘,指南针,圆规;v.包围", 
compassion,[kEm5pAFEn],"n.同情,怜悯", 
compatible,[kEm5pAtEbl],"adj.谐调的,一致的,兼容的", 
compatriot,[kEm5pAtriEt],"n.同国人,同胞", 
compel,[kEm5pel],"vt.强迫,迫使",com+pel(推)→共同推→强迫*同根词：repel(打退) 
compelling,[kEm5peliN],"adj.强制的,强迫的,引人注目的", 
compensate,[5kCmpEnseit],"v.偿还,补偿,付报酬",com+pens(挂，花费)+ate→全部给予花费→赔偿*同根词：expense(支出) 
compensation,[kCmpen5seiFEn],"n.补偿,赔偿", 
compete,[kEm5pi:t],"vi.比赛,竞争",in（不）＋competent（有能力的） 
competence,[5kCmpEtEns],n.能力, 
competent,[5kCmpitEnt],"adj.有能力的,胜任的",in（不）＋competent（有能力的） 
competition,[kCmpi5tiFEn],"n.竞争,竞赛", 
competitive,[kEm5petitiv],adj.竞争的, 
competitor,[kEm5petitE],n.竞争者, 
compilation,[7kCmpi5leiFEn],n.编辑, 
compile,[kEm5pail],"vt.编译,编辑,汇编",com+pile(堆)→堆积→汇集 
compiler,[kEm5pailE],"n.编辑者,[计]编译器", 
complacency,[kEm5pleisEnsi],"n.满足,安心",com+plac(平静，满足)+ent→全部满足→自满的注意不要和complaisant(随和的)相混 
complacent,[kEm5pleisnt],"adj.自满的,得意的", 
complement,[5kCmplimEnt],"n.补足物,[文法]补语,[数]余角;vt.补助,补足", 
complementary,[kCmplE5mentEri],"adj.补充的,补足的", 
complexion,[kEm5plekFEn],"n.面色,肤色,情况,局面",com+plex(重叠交叉)+ion→重叠分叉的情况→局面*同根词：complexity(复杂) 
compliance,[kEm5plaiEns],"n.依从,顺从", 
complicate,[5kCmplikeit],v.(使)变复杂, 
complication,[7kCmpli5keiF(E)n],"n.复杂化,(使复杂的)因素;n.[医]并发症", 
complicity,[kEm5plisiti],"n.同谋,共犯", 
compliment,[5kCmplimEnt],"n.称赞,恭维,致意,问候,道贺;vt.称赞,褒扬,恭维",不要和complement(补充)相混 
complimentary,[7kCmpli5ment(E)ri],"adj.问候的,称赞的,夸奖的,免费赠送的", 
comply,[kEm5plai],"vi.顺从,答应,遵守", 
component,[kEm5pEunEnt],"n.成分;adj.组成的,构成的", 
compose,[kEm5pEuz],"v.组成,写作,排字,(使)安定,调解",de＋com＋pose（放）→放在一起的东西散开→分解、腐烂。*参考：compose（组合） 
composer,[kCm5pEuzE],"n.作家,作曲家,设计者,著作者", 
composite,[5kCmpEzit7-zait],"adj.合成的,复合的;n.合成物",com＋pos（放）＋ite→放在一起的→混合成的*同根词：composor（作曲家），propose（提议） 
composition,[kCmpE5ziFEn],"n.写作,作文,成分,合成物", 
compound,[5kCmpaund],"n.混合物,[化]化合物;adj.复合的;v.混合,配合", 
comprehend,[7kCmpri5hend],"vt.领会,理解,包括(包含),由...组成", 
comprehensible,[7kCmpri5hensEbl],"adj.可理解的,易于了解的", 
comprehension,[7kCmpri5henFEn],"n.理解,包含", 
comprehensive,[7kCmpri5hensiv],"adj.全面的,广泛的,能充分理解的,包容的",com＋prehens（抓住）＋sive→全部抓住→全面的*同根词：prehensible（能抓住的）注意不要和comprehensible（容易了解的）相混 
compress,[kEm5pres],"vt.压缩,摘要叙述;n.(外科)敷布", 
comprise,[kEm5praiz],"v.包含,由...组成", 
compromise,[5kCmprEmaiz],"n.妥协,折衷;v.妥协,折衷,危及...的安全", 
compulsion,[kEm5pQlF(E)n],"n.强迫,强制,[心]强迫性冲动", 
compulsive,[kEm5pQlsiv],"adj.强制的,强迫的,由强迫产生的,禁不住的", 
compulsory,[kEm5pQlsEri],"adj.必需做的,必修的,被强迫的,被强制的,义务的",com＋puls（推，冲）＋ion→一起推→冲动，压力*同根词：repulse（反击，击退），repulsive（排斥的） 
compunction,[kEm5pQNkF(E)n],"n.良心的谴责,后悔,悔恨",com＋punct（刺prick）＋ion→（心）不断被刺→良心不安．*同根词：punctual（准时的），acupuncture（针灸） 
computation,[7kCmpju(:)5teiF(E)n],"n.计算,估计", 
compute,[kEm5pju:t],"v.计算,估计,用计算机计算(或确定)", 
concave,[5kCn5keiv],"adj.凹的,凹入的;n.凹,凹面","con＋cave（空,洞）→全部是洞→凹的．*参考反义词：convex（凸出的） "
conceal,[kEn5si:l],"vt.隐藏,隐蔽,隐瞒;v.隐蔽", 
concealment,[kEn5si:lmEnt],"n.隐藏,隐蔽,隐蔽处", 
concede,[kEn5si:d],"vt.勉强,承认,退让;vi.让步",con＋cede（割让）→让出去→让步*参考：cede（割让） 
conceit,[kEn5si:t],"n.原义：想法,意见,自负,幻想,狂妄", 
conceited,[kEn5si:tid],"adj.自以为是的,逞能的,狂想的",con＋ceit＝ceive（拿）→拿出架子→自负。*参考：conceive． 
conceivable,[kEn5si:vEbl],"adj.可能的,想得到的,可想像的",con＋ceive（拿）→拿住（小孩，想法）→怀孕，构想*同根词：receive（接受），perceive（发觉） 
conceive,[kEn5si:v],"vt.构思,以为,持有;vi.怀孕,考虑,设想", 
concentration,[7kCnsen5treiFEn],"n.集中,集合,专心,浓缩,浓度", 
conception,[kEn5sepFEn],"n.观念,概念", 
conceptualize,[kEn5septjuElaiz],v.使有概念, 
concerted,[kEn5sE:tid],"adj.商议定的,协定的,[乐]协调的", 
concession,[kEn5seFEn],n.让步, 
conciliate,[kEn5silieit],"vt.安慰,赢得,调和",concil＝council（协商）＋iate→协商（解决）→调和*参考：councel（商议）比较：ciliated（有睫毛的，有纤毛的） 
concise,[kEn5sais],"adj.简明的,简练的",con＋cise（切掉）→把（多余的）全部切掉→简洁*同根词：incise（切入），incisive（有洞察力的） 
conclusive,[kEn5klu:siv],"adj.确实的,最后的,决定性的", 
concrete,[5kCnkri:t],"adj.具体的,有形的;n.混凝土;v.用混凝土修筑,浇混凝土,凝结", 
concur,[kEn5kE:],v.同时发生,con＋current（发生的）→共同发生的*参考：occurrence（发生的事件） 
condemn,[kEn5dem],"vt.判刑,处刑,声讨,谴责",con＋demn＝damn（诅咒）→大家诅咒→谴责*同根词：damnify（损害） 
condemnation,[7kCndem5neiFEn],"n.谴责,指责,定罪", 
condensation,[kCnden5seiFEn],n.浓缩, 
condense,[kEn5dens],"v.(使)浓缩,精简", 
condescend,[kCndi5send],"vi.谦逊,屈尊",con＋de＋scend（爬）→全部向下爬→俯就*同根词：descend（下降），ascend（上升） 
condescension,[7kCndi5senFEn],"n.谦虚,硬要人家领情的态度", 
condolence,[kEn5dEulEns],"n.哀悼,吊唁",con＋dol（痛苦）→一起痛苦→哀悼*同根词：indolence（懒惰，不痛） 
conducive,[kEn5dju:siv],n.有益于, 
conduct,[5kCndQkt7-dEkt],"n.行为,操行;v.引导,管理,为人,传导", 
conduction,[kEn5dQkFEn],n.传导, 
cone,[kEun],"n.[数、物]锥形物,圆锥体,(松树的)球果;vt.使成锥形", 
confer,[kEn5fE:],"vt.授予(称号、学位等),赠与,把...赠与,协议;v.协商,交换意见", 
confess,[kEn5fes],"v.承认,坦白,忏悔", 
confession,[kEn5feFEn],"n.供认,承认,招供", 
confide,[kEn5faid],"v.倾诉,委托,信赖",con＋fide（相信）→相信别人→吐露*参考：confident（自信的） 
confidential,[kCnfi5denFEl],"adj.秘密的,机密的", 
confidentiality,[],n.机密性, 
confidentiality,[],n.机密性, 
configuration,[kEn7figju5reiFEn],"n.构造,结构,配置,外形",con＋figure（形状）＋ion→全部形状→轮廓 
confine,[5kCnfain],"vt.限制,禁闭;n.界限,边界", 
confinement,[kEn5fainmEnt],"n.(被)限制,(被)禁闭,产期,分娩", 
confines,[],"n.疆界,范围,界线", 
confirm,[kEn5fE:m],"vt.确定,批准,使巩固,使有效;v.确认,(基督教中)给...行按手礼", 
confirmation,[7kCnfE5meiFEn],"n.证实,确认,批准", 
conflict,[5kCnflikt],"n.斗争,冲突;vi.抵触,冲突", 
conform,[kEn5fC:m],"vt.使一致,使遵守,使顺从;vi.符合,相似,适应环境;adj.一致的,顺从的", 
conformity,[kEn5fC:miti],"n.一致,符合",non（不）＋conformist（一致的人） 
confront,[kEn5frQnt],"vt.使面临,对抗", 
confuse,[kEn5fju:z],"vt.搞乱,使糊涂", 
confusion,[kEn5fju:VEn],"n.混乱,混淆", 
congested,[kEn5dVestid],adj.拥挤的, 
congestion,[kEn5dVestFEn],"n.拥塞,充血",con＋gest（管道，带来）→进入一个管道→拥挤*同根词：digestion（消化），ingest（吞咽） 
conglomerate,[kCn5glCmErit],v.聚结,con＋glomer（球）＋ate→成为一球→集聚*参考：agglomerate（凝聚） 
congratulate,[kEn5grAtjuleit],"vt.祝贺,庆贺,恭喜", 
congregation,[7kCngri5geiFEn],"n.集合,集会,[宗]圣会", 
conjecture,[kEn5dVektFE],"n.v.推测,臆说,猜想",con＋ject（推，扔）＋ure→全部是推测出来的→臆测．*同根词：reject（拒绝），projectile（抛射体） 
connoisseur,[7kCni5sE:],"n.(艺术品的)鉴赏家,鉴定家,内行",con＋nois（知道）＋seur→什么都知道的人→行家．*同根词：agnostic（不可知的），gnos＝nois 
conquer,[5kCNkE],"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)", 
conqueror,[5kCNkErE],"n.征服者,胜利者", 
conquest,[5kCNkwest],n.征服;n.战利品, 
conscience,[5kCnFEns],"n.良心,道德心", 
conscientious,[7kCnFi5enFEs],adj.尽责的, 
conscious,[5kCnFEs],"adj.有意识的,有知觉的,故意的,羞怯的", 
consciously,[],"adv.有意识地,自觉地", 
consciousness,[5kCnFEsnis],"n.意识,知觉,自觉,觉悟,个人思想", 
consecutive,[kEn5sekjutiv],"adj.连续的,联贯的", 
consecutively,[],adv.连续地, 
consensus,[kEn5sensEs],"n.一致同意,多数人的意见,舆论", 
consent,[kEn5sent],"vi.同意,赞成,答应;n.同意,赞成,允诺", 
consequence,[5kCnsikwEns],"n.结果,[逻]推理,推论,因果关系,重要的地位", 
consequent,[5kCnsikwEnt],"adj.作为结果的,随之发生的",con＋sequ（跟随）ential→跟随而来的→产生后果的*同根词：obsequious（拍马屁的） 
consequently,[5kCnsikwEntli],"adv.从而,因此", 
conservation,[7kCnsE(:)5veiFEn],"n.保存,保持,守恒", 
