abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
distinct,[dis5tiNkt],"adj.清楚的, 明显的, 截然不同的, 独特的"
distinction,[dis5tiNkFEn],"n.区别, 差别, 级别, 特性, 声望, 显赫"
distinguish,[dis5tiNgwiF],"v.区别, 辨别"
distress,[dis5tres],"n.悲痛, 穷困, 不幸, 危难, 忧伤//v.使悲痛, 使穷困, 使忧伤"
distribute,[dis5tribju(:)t],"vt.分发, 分配, 散布, 分布, 分类, 分区//v.分发"
distribution,[7distri5bju:FEn],"n.分配, 分发, 配给物, 销售, 法院对无遗嘱死亡者财产的分配, 分布状态, 区分, 分类//发送,发行"
district,[5distrikt],"n.区域, 地方, 管区, 行政区, (美国各州的)众议院选区"
disturb,[dis5tE:b],"vt.弄乱, 打乱, 打扰, 扰乱//v.扰乱"
ditch,[ditF],"n.沟, 沟渠, 壕沟"
dive,[daiv],"vi.潜水, 跳水, 下潜, 俯冲//n.潜水, 跳水, 下潜, 俯冲"
diverse,[dai5vE:s],"adj.不同的, 变化多的"
divide,[di5vaid],"v.分, 划分, 分开, 隔开"
division,[di5viVEn],"n.分开, 分割, 区分, 除法, 公司, (军事)师, 分配, 分界线"
divorce,[di5vC:s],"n.离婚, 脱离//vt.使离婚, 与...脱离"
do,[dEu],"v.做, 实行, 尽力, 给予, 可用, 制作, 算出, 解答//[域] Dominican Republic , 多米尼加共和国"
doctor,[5dCktE],"n.医生, 博士, [古]学者, <俚>修理师//vt.授以博士学位, 诊断, 修改, <美>治疗, 搀混(食物、饮料), 修改//vi.行医"
document,[5dCkjumEnt],"n.公文, 文件, 文档, 档案, 文献//v.证明"
dog,[dCg],"n.狗, 犬, 类似犬的动物, 卑鄙的人, 小人, 坏蛋//vt.跟踪, 尾随"
dollar,[5dClE],"n.元, 美元"
domestic,[dE5mestik],"adj.家庭的, 国内的, 与人共处的, 驯服的"
donkey,[5dCNki],"n.驴子, 笨蛋, 顽固者, (=donkey engine)轻便发动机, (=donkey pump)辅助泵"
door,[dC:; dCE],"n.门, 通道, 家, 户"
dorm,[dC:m],"n.<俗> 宿舍(=dormitory)共处的, 驯服的"
dormitory,[5dC:mitri],n.宿舍
dose,[dEus],"n.剂量, (一)剂, (一)服//v.(给...)服药"
dot,[dCt],"n.点, 圆点, 园点//vt.在...上打点"
double,[5dQbl],"n.两倍, [计] 双精度型//adj.两倍的, 双重的//vt.使加倍//vi.加倍, 快步走, 加倍努力"
doubt,[daut],"n.怀疑, 疑惑, 疑问//v.怀疑, 不信, 拿不准, <古>恐怕"
doubtful,[5dautful],"adj.可疑的, 不确的, 疑心的"
down,[daun],"adj.向下的//adv.向下, 在下面, 下去, 降下//prep.往下, 沿着//n.绒毛, 软毛, 开阔的高地"
downstairs,[daun5steEz],"adv.在楼下, 往楼下, 下楼"
downward,[5daunwEd],adj.向下的
dozen,[5dQzn],"n.一打, 十二个"
draft,[drB:ft],"n.草稿, 草案, 草图//vt.起草, 为...打样, 设计//v.草拟"
drag,[drAg],"v.拖, 拖曳, 缓慢而费力地行动//n.拖拉"
drain,[drein],"n.排水沟, 消耗, 排水//vt.排出沟外, 喝干, 耗尽//vi.排水, 流干"
drama,[5drB:mE],"n.(在舞台上演的)戏剧, 戏剧艺术"
dramatic,[drE5mAtik],"adj.戏剧性的, 生动的"
draw,[drC:],"v.拉, 曳, 牵, 画, 绘制, 拖曳//vt.汲取, 领取, 提取, 引起, 吸引//vi.向...移动, 挨近//n.平局, 和局, 拖曳"
drawer,[5drC:E],"n.抽屉, 画家, 制图员, (用复数)衬裤、内裤"
drawing,[5drC:iN],"n.图画, 制图, 素描术"
dream,[dri:m],"v.做梦, 梦见, 梦想, 想到//n.梦, 梦想"
dress,[dres],"n.女服, 童装, 服装, 衣服//v.(给...)穿衣"
drift,[drift],"n.冲洗, 漂流物, 观望, 漂流//v.(使)漂流"
drill,[dril],"n.钻孔机, 钻子, 播种机, 军事训练, 操练, (反复)练习, 条播机//v.训练, 钻孔, 条播"
drink,[driNk],"n.饮料, 酒, 酗酒, 一口(或一些)饮料//v.喝, 喝酒, (植物、土壤等的)吸水, 举杯庆贺"
drip,[drip],n.水滴//v.(使)滴下
drive,[draiv],"n.驾车, 驱动器, 快车道, 推进力, 驱使, 动力, 干劲, 击球//vt.开车, 驱赶, 推动、发动(机器等), 驾驶(马车,汽车等)//vi.开车, 猛击, 飞跑//n.[计]驱动器"
driver,[5draivE],"n.驾驶员//n.[计] 驱动器, 驱动程序//n.[机]起子, 主动轮, 传动器"
drop,[drCp],"v.滴下, 落下, (使声音等)变弱, (使价格等)下降, 使跌倒, 使结束, 不再讨论, 停止与(某人)交往//n.落下, 下降, 滴, 滴剂, 点滴, 微量, 下跌"
drown,[draun],"v.溺死, 淹死//vt.淹没"
drug,[drQg],"n.药, 麻药, 麻醉药, 滞销货//vi.<俗> 吸毒//vt.使服毒品, 毒化"
drum,[drQm],"n.鼓, 鼓声, 鼓形圆桶, [解]鼓膜, 鼓室//vi.击鼓, 作鼓声//vt.打鼓奏"
drunk,[drQNk],adj.喝醉了的//vbl.drink 的过去分词
dry,[drai],"adj.干的, 干燥的, 口渴的//vt.(使)干燥, (使)变干//v.干燥"
duck,[dQk],"n.鸭子, 急忙蹲下, 闪避, <俚> 人, 家伙//vi.没入水中, 闪避//vt.猛按...入水, 躲避"
due,[dju:],"n.应得物、权力, [复]应付款//adj.应得的, 应付的, 正当的, 预期的, (车、船预定)应到的"
dull,[dQl],"adj.感觉或理解迟钝的, 无趣的, 呆滞的, 阴暗的//vt.使迟钝, 使阴暗, 缓和//vi.变迟钝, 减少"
dumb,[dQm],"adj.哑的, 无说话能力的, 不说话的, 无声音的"
dump,[dQmp],"vt.倾倒(垃圾), 倾卸//n.堆存处"
durable,[5djuErEbl],"adj.持久的, 耐用的"
duration,[djuE5reiFEn],"n.持续时间, 为期"
during,[5djuEriN],"prep.在...的期间, 在...的时候"
dusk,[dQsk],"n.薄暮, 黄昏"
dust,[dQst],"n.灰尘, 尘土, 尘埃//vt.掸掉...上的灰尘, 撒糖于糕上"
duty,[5dju:ti],"n.义务, 责任, 职责, 职务, 税"
dye,[dai],"n.染料, 染色//vt.染//v.染"
dynamic,[dai5nAmik],"adj.动力的, 动力学的, 动态的"
each,[i:tF],"adj.各自的, 每个的, 每一//pron.各, 各自, 每个//adv.每个"
eager,[5i:gE],"adj.热心于, 渴望着"
eagle,[5i:gl],"n.鹰, 鹰状标饰"
ear,[iE],"n.耳朵, 倾听, 听觉, 听力, 穗//vi.抽穗"
early,[5E:li],"adj.早的, 早熟的, 及早的, 早先的, 早期的//adv.早, 在初期"
earn,[E:n],"vt.赚, 挣得, 获得//v.赚得, 获得"
earnest,[5E:nist],"adj.认真的, 热心的, 重要的n.真挚, 定金, 认真, 热心"
earth,[E:W],"n.地球, 陆地, 泥土, 洞穴, 地球上的人类, 尘世, [电]接地//vt.埋入土中, 把...赶入洞内, 把...接地//vi.躲入洞内"
earthquake,[5E:Wkweik],"n.地震, [喻]在震荡, 在变动"
ease,[i:z],"n.安逸, 安心, 不费力, 悠闲//vt.使悠闲, 使安心, 减轻, 放松//vi.减弱, 减轻, 放松, 灵活地移动"
east,[i:st],"n.东方, 东, 东部地区//adj.东方的, 从向东来的//adv.在东方, 向东方, 朝东方"
eastern,[5i:stEn],"adj.东方的, 东部的"
easy,[5i:zi],"adj.容易的, 安逸的, 舒适的, 宽裕的, 小康的, 从容的, 宽容的, 流畅的//adv.不费力的, 轻松, 悠闲, 慢慢地//n.短暂的休息"
eat,[i:t],"v.吃, 腐蚀"
echo,[5ekEu],"n.回声, 回音, 回波//vi.发回声, 随声附和//vt.摹仿, 重复, 反射//[计] 禁止(或允许)在屏幕上显示批处理命令行"
economic,[7i:kE5nCmik],"adj.经济(上)的, 产供销的, 经济学的"
economical,[7i:kE5nCmikEl],"adj.节约的, 经济的"
economy,[i(:)5kCnEmi],"n.经济, 节约, 节约措施, 经济实惠, 系统, 机体, 经济制度的状况"
edge,[edV],"n.刀口, 利刃, 锋, 优势, 边缘, 优势, 尖锐//vt.使锋利, 挤进, 镶边, 开刃//vi.缓缓移动, 侧着移动"
edition,[i5diFEn],"n.版本, 版"
editor,[5editE],"n.编辑, 编辑器, 编者"
educate,[5edju(:)keit],"vt.教育, 训练, 培养//v.教育"
education,[7edju(:)5keiFEn],"n.教育, 训导, 训练, 培养, 教育学"
effect,[i5fekt],"n.结果, 效果, 作用, 影响, (在视听方面给人流下的)印象//vt.招致, 实现, 达到(目的等) 侧着移动"
effective,[i5fektiv],"adj.有效的, 被实施的, 给人深刻印象, 有生力量"
efficiency,[i5fiFEnsi],"n.效率, 功效"
efficient,[i5fiFEnt],"adj.(直接)生效的, 有效率的, 能干的"
effort,[5efEt],"n.努力, 成就"
egg,[eg],"n.蛋, 鸡蛋, 卵//v.怂恿, 怂恿"
eight,[eit],"adj.八的//num.八, 八个, 第八//n.八字形"
eighteen,[5ei5ti:n],"adj.十八的, 十八个的"
eighth,[eitW],num.第八
eighty,[5eiti],"num.八十, 八十个"
either,[5aiTE(r)C EQ:Q7:BE],"adj.任一的, (两方中的)每一方的//pron.任一, 随便任一个//conj.或者, 也"
elaborate,[i5lAbErEt],"adj.精心制作的, 详细阐述的, 精细//vt.精心制作, 详细阐述//v.详细描述"
elastic,[i5lAstik],adj.弹性的
elder,[5eldE(r) 老人; 父辈adj.年长的; 资格老的],"n.年长者, 老人, 父辈//adj.年长的, 资格老的"
elect,[i5lekt],"vt.选举, 推选//v.选择, 作出选择, 选举, 选举, 选举"
election,[i5lekF(E)n],"n.选举, 当选, 选择权, [宗]上帝的选拔"
electric,[i5lektrik],"adj.电的, 导电的, 电动的, 电气"
electrical,[i5lektrik(E)l],"adj.电的, 有关电的"
electricity,[ilek5trisiti],"n.电流, 电, 电学"
electron,[i5lektrCn],n.电子
electronic,[ilek5trCnik],adj.电子的
element,[5elimEnt],"n.要素, 元素, 成分, 元件, 自然环境"
elementary,[7eli5mentEri],"adj.初步的, 基本的, [化]元素的, 自然力的"
elephant,[5elifEnt],"n.象, 一种纸张的尺寸"
elevator,[5eliveitE],"n.电梯, 升降机, [空]升降舵"
eleven,[i5levEn],n.十一
eliminate,[i5limineit],"vt.排除, 消除//v.除去"
else,[els],"adj.别的, 其他的//adv.另外, 其他"
elsewhere,[5els5hwZE],adv.在别处
embarrass,[im5bArEs],"vt.使困窘, 使局促不安, 阻碍, 麻烦"
embrace,[im5breis],"vt.拥抱, 互相拥抱, 包含, 收买, 信奉//vi.拥抱//n.拥抱"
emerge,[i5mE:dV],"vi.显现, 浮现, 暴露, 形成, (由某种状态)脱出, (事实)显现出来"
emergency,[i5mE:dVnsi],"n.紧急情况, 突然事件, 非常时刻, 紧急事件"
emit,[i5mit],"vt.发出, 放射, 吐露, 散发, 发表, 发行"
emotion,[i5mEuFEn],"n.情绪, 情感, 感情"
emotional,[i5mEuFEnl],"adj.情绪的, 情感的"
emperor,[5empErE],"n.皇帝, 君主"
emphasis,[5emfEsis],"n.强调, 重点"
emphasize,[5emfEsaiz],"vt.强调, 着重//v.强调"
empire,[5empaiE],"n.帝国, 帝权"
employ,[im5plCi],"vt.雇用, 用, 使用//v.使用//n.雇用"
employee,[7emplCi5i:; im5plCii],"n.职工, 雇员, 店员"
employer,[im5plCiE],"n.雇主, 老板"
employment,[im5plCimEnt],"n.雇用, 使用, 利用, 工作, 职业"
empty,[5empti],"adj.空的, 空洞的, 空虚的//vt.使成为空的, 倒空//v.倒空//adj.空的,空闲的//v.腾空, 腾出来"
enable,[i5neibl],"vt.使能够, 授予权利或方法"
enclose,[in5klEuz],"vt.放入封套, 装入, 围绕"
encounter,[in5kauntE],"v.遭遇, 遇到, 相遇//n.遭遇, 遭遇战"
encourage,[in5kQridV],"vt.鼓励, 怂恿//v.鼓励, 鼓励"
end,[end],"n.末端, 尽头, 结束, 目标, 限度, 梢, 末端, 死亡//v.结束, 终结, 终止"
ending,[5endiN],"n.结尾, 结局"
endless,[5endlis],"adj.无止境的, 无穷的"
endure,[in5djuE],"v.耐久, 忍耐"
enemy,[5enimi],"n.敌人, 仇敌, [集合名词]敌军, [喻]大敌//adj.敌人的, 敌方的"
energy,[5enEdVi],"n.精力, 精神, 活力, [物]能量"
enforce,[in5fC:s],"vt.强迫, 执行, 坚持, 加强"
engage,[in5geidV],"vt.使忙碌, 雇佣, 预定, 使从事于, 使参加//vi.答应, 从事, 交战, [机]接合, 啮合"
engine,[5endVin],"n.发动机, 机车, 火车头"
engineer,[7endVi5niE],"n.工程师, 技师, 火车司机, 轮机员, 工兵"
engineering,[7endVi5niEriN],n.工程(学)23:39:12
English,[5iNgliF],"adj.英文的, 英国人的, 英格兰的//n.英国人, 英语"
enjoy,[in5dVCi],"vt.享受...的乐趣, 欣赏, 喜爱//v.满意"
enlarge,[in5lB:dV],"v.扩大, 放大"
enormous,[i5nC:mEs],"adj.巨大的, 庞大的, <古>极恶的, 凶暴的"
enough,[i5nQf],"adj.足够的, 充足的, 只够做...的//n.充足, 足够, 很多//adv.足够地, 充分地//int.够了!"
enquire,[in5kwaiE],v.询问
enquiry,[in5kwaiEri],n.询问
ensure,[in5FuE],"vt.保证, 担保, 使安全, 保证得到//v.确保, 确保, 保证"
enter,[5entE],"vt.进入, 加入, 参加, 登录, 开始//vi.进去, [戏]登场, 参加//n.输入, [计]回车"
entertain,[7entE5tein],"vt.娱乐, 招待, 接受, 怀抱//vi.款待"
enthusiasm,[in5Wju:ziAzEm],"n.狂热, 热心, 积极性, 激发热情的事物"
entire,[in5taiE],"adj.全部的, 完整的, 整个"
entitle,[in5taitl],"vt.给...权利(或资格), 给...题名, 给...称号//v.授权, 授权"
entrance,[in5trB:ns],"n.入口, 门口, 进入"
entry,[5entri],"n.登录, 条目, 进入, 入口, [商]报关手续, [律]对土地的侵占, 对房屋的侵入"
envelope,[5envilEup],"n.信封, 封套, 封袋, [天]包层, [数]包迹, [生]包膜"
environment,[in5vaiErEnmEnt],"n.环境, 外界"
envy,[5envi],"n.vt.羡慕, 嫉妒"
equal,[5i:kwEl],"adj.相等的, 均等的, 胜任的, 平静的, 合适的, 不相上下的//n.相等的事物(或数量), 对手, 匹敌, 同辈//vt.等于, 比得上"
equality,[i(:)5kwCliti],"n.等同性, 同等, 平等, 相等, 等式"
equation,[i5kweiFEn],"n.相等, 平衡, 综合体, 因素, 方程式, 等式"
equip,[i5kwip],"vt.装备, 配备, 训练, 准备行装"
equipment,[i5kwipmEnt],"n.装备, 设备, 器材, 装置, 铁道车辆, (一企业除房地产以外的)固定资产, 才能"
equivalent,[i5kwivElEnt],"adj.相等的, 相当的, 同意义的//n.等价物, 相等物"
era,[5iErE],"n.时代, 纪元, 时期, [地]代"
erect,[i5rekt],"adj.直立的, 竖立的, 笔直的//vt.盖, 使竖立, 使直立, 树立, 建立//vi.[生理]勃起"
error,[5erE],"n.错误, 过失, 误差"
escape,[is5keip],"n.逃, 逃亡, 溢出设备, 出口, 逃跑, [植]野生//vi.逃脱, 避开, 溜走//vt.逃避, 避免, 被忘掉"
especially,[is5peFEli],"adv.特别, 尤其"
essay,[5esei; 5esi],"vt.企图, 尝试//n.企图, 散文, 小品文, 随笔, 短文, 评论"
essential,[i5senFEl],"adj.本质的, 实质的, 基本的, 提炼的, 精华的//n.本质, 实质, 要素, 要点"
establish,[is5tAbliF],"vt.建立, 设立, 安置, 使定居, 使人民接受, 确定//v.建立"
establishment,[is5tAbliFmEnt],"n.确立, 制定, 设施, 公司, 军事组织"
estimate,[5estimeit],"v.估计, 估价, 评估//n.估计, 估价, 评估"
Europe,[5juErEp],n.欧洲
European,[7juErE5pi(:)En],"adj.欧洲的, 欧洲人的//n.欧洲人"
evaluate,[i5vAljueit],"vt.评价, 估计, 求...的值//v.评价"
evaporate,[i5vApEreit],"v.(使)蒸发, 消失"
eve,[i:v],"n.[诗]黄昏, 前夕, 前日"
even,[5i:vEn],"adj.平的, 平滑的, 偶数的, 一致的, 平静的, 恰好的, 平均的, 连贯的//adv.[加强语气]甚至(...也), 连...都, 即使, 恰好, 正当//vt.使平坦, 使相等//vi.变平, 相等//n.偶数, 偶校验"
evening,[5i:vniN],"n.傍晚, 晚间, 后期, (联欢性的)晚会"
event,[i5vent],"n.事件, 事变, 结果, 活动, 精力, 竞赛"
eventually,[i5ventjuEli],"adv.最后, 终于"
ever,[5evE],"adv.曾经, 永远, 不断地, 在任何时候, 究竟"
every,[5evri],"adj.每一的, 每个的, 全部的, 每隔...的"
everybody,[5evribCdi; 5evribEdi],"int.每个人, 人人"
everyday,[5evridei],"adj.每天的, 日常的, 平常的, 平凡的"
everyone,[5evriwQn],"pron.每个人, 人人"
everything,[5evriWiN],"pron.每件事物, 万事"
everywhere,[5evrihwZE],"adv.各处, 到处"
evidence,[5evidEns],"n.明显, 显著, 明白, 迹象, 根据, [物]证据, 证物"
evident,[5evidEnt],"adj.明显的, 显然的"
evil,[5i:vl],"adj.邪恶的, 带来麻烦的, 不幸的, 有害的, 诽谤的//n.邪恶, 不幸, 罪恶"
evolution,[7i:vE5lu:FEn; 7evE-],"n.进展, 发展, 演变, 进化"
evolve,[i5vClv],"v.(使)发展, (使)进展, (使)进化"
exact,[ig5zAkt],"adj.精确的, 准确的, 原样的, 精密的, 严格//vt.强求, 急需, 要求"
exaggerate,[ig5zAdVEreit],"v.夸大, 夸张"
exam,[ig5zAm; eg-],"n.考试, 测验"
examination,[ig7zAmi5neiFEn],"n.考试, 检查, 细查"
examine,[ig5zAmin],"v.检查, 调查, 考试"
example,[ig5zB:mpl; ig5zAm-],"n.例子, 实例, 例题, 范例, 榜样, 鉴戒, 实例"
exceed,[ik5si:d],"vt.超越, 胜过//vi.超过其他"
exceedingly,[ik5si:diNli],"adv.非常地, 极度地"
excellent,[5eksElEnt],"adj.卓越的, 极好的"
except,[ik5sept],"vt.除, 把...除外, 反对, 不计//vi.反对//prep.除了...之外, 若不是, 除非//conj.只是, 要不是"
exception,[ik5sepFEn],"n.除外, 例外, 反对, 异议"
excess,[ik5ses; 5ekses],"n.过度, 剩于, 无节制, 超过, 超额//adj.过度的, 额外的"
excessive,[ik5sesiv],"adj.过多的, 过分的, 额外"
exchange,[iks5tFeindV],"vt.交换, 调换, 兑换, 交流, 交易//n.交换, 调换, 兑换, 交流, 交易"
excite,[ik5sait],"vt.刺激, 使兴奋, 使激动//vi.<口>兴奋, 激动"
exciting,[ik5saitiN],"adj.令人兴奋的, 使人激动的"
exclaim,[iks5kleim],"v.呼喊, 惊叫, 大声叫"
exclude,[iks5klu:d],"vt.拒绝接纳, 把...排除在外, 排斥"
exclusively,[ik5sklu:sivli],"adv.排外地, 专有地"
excursion,[iks5kE:FEn],"n.远足, 游览, 短程旅行, 远足队, 离题, [物]偏移, 漂移"
excuse,[iks5kju:z],"vt.原谅, 申辩, 做为...的托辞, 为...免去//n.饶恕, 致歉, 理由, 口实, 借口, 清借条, 免去"
execute,[5eksikju:t],"vt.执行, 实行, 完成, 处死, 制成, [律]经签名盖章等手续使(证书)生效"
executive,[ig5zekjutiv],"adj.实行的, 执行的, 行政的//n.执行者, 经理主管人员"
exercise,[5eksEsaiz],"n.练习, 习题, 训练, 锻炼, 演习//v.训练, 锻炼//vt.行使, 使担扰"
exert,[ig5zE:t],"vt.尽(力), 施加(压力等), 努力//v.发挥, 竭尽全力, 尽"
exhaust,[ig5zC:st],"vt.用尽, 耗尽, 抽完, 使精疲力尽//vi.排气//n.排气, 排气装置//adj.用不完的, 不会枯竭的"
exhibit,[ig5zibit],"vt.展出, 陈列//n.展览品, 陈列品, 展品//v.展示"
exhibition,[7eksi5biFEn],"n.表现, 展览会, 展览品, 显示"
exist,[ig5zist],"vi.存在, 生存, 生活, 继续存在"
existence,[ig5zistEns],"n.存在, 实在, 生活, 存在物, 实在物"
exit,[5eksit; -zit],"n.出口, 太平门, 退场, 去世//vi.退出, 脱离, 去世//[计]  离开当前命令行外壳"
expand,[iks5pAnd],"vt.使膨胀, 详述, 扩张//vi.张开, 发展"
expansion,[iks5pAnFEn],"n.扩充, 开展, 膨胀, 扩张物, 辽阔, 浩瀚"
expect,[iks5pekt],"vt.期待, 预期, 盼望, 指望, <口>(料)想, 认为"
expectation,[7ekspek5teiFEn],"n.期待, 预料, 指望, 展望, [数]期望(值)道"
expense,[ik5spens],"n.费用, 代价, 损失, 开支, 费钱之物"
expensive,[iks5pensiv],"adj.花费的, 昂贵的"
experience,[iks5piEriEns],"n.vt.经验, 体验, 经历, 阅历"
experiment,[iks5perimEnt],"n.实验, 试验//vi.进行实验, 做试验"
experimental,[eks7peri5mentl],"adj.实验的, 根据实验的"
expert,[5ekspE:t],"n.专家, 行家, [军](特等)射手//adj.老练的, 内行的, 专门的//vt.在...中当行家, 当专家"
explain,[iks5plein],"v.解释, 说明"
explanation,[7eksplE5neiFEn],"n.解释, 解说, 说明, 辩解, 互相讲明"
explode,[iks5plEud],"vt.使爆炸//vi.爆炸, 爆发, 破除, 推翻, 激发"
exploit,[iks5plCit],"vt.开拓, 开发, 开采, 剥削, 用以自肥//v.使用"
explore,[iks5plC:],"v.探险, 探测, 探究"
explosion,[iks5plEuVEn],"n.爆发, 发出, 爆炸, [矿]煤气爆炸"
explosive,[iks5plEusiv],"adj.爆炸(性)的, 爆发(性)的, 暴露//n.爆炸物, 炸药"
export,[5ekspC:t],"vt.输出//n.出口货, 输出, 出口, 出口商品//v.出口"
expose,[iks5pEuz],"vt.使暴露, 受到, 使曝光//v.揭露"
exposure,[iks5pEuVE],"n.暴露, 揭露, 暴光, 揭发, 揭露, 位向, 方向, 陈列"
express,[iks5pres],"adj.急速的, 特殊的, 明确的//n.快车, 快递, 专使//vt.表达, 表示//adv.乘快车, 以快递方式"
expression,[iks5preFEn],"n.表达, 表情, 脸色, 声调, 腔调, 榨出, 语法, 措辞//n.[数] 式, 表达式, 符号"
extend,[iks5tend],"v.扩充, 延伸, 伸展, 扩大[军]使疏开, 给予, 提供, 演化出的全文, <英>[律]对(地产等)估价"
extension,[iks5tenFEn],"n.延长, 扩充, 范围//n.扩展名//adj.[逻]外延的, 客观现实的"
extensive,[iks5tensiv],"adj.广大的, 广阔的, 广泛的"
extent,[iks5tent],"n.广度, 宽度, 长度, 范围, 程度, 区域, [律]<英>扣押, <美>临时所有权令"
exterior,[eks5tiEriE],"adj.外部的, 外在的, 表面的, 外交的, [建](适合)外用的//n.外部, 表面, 外型"
external,[eks5tE:nl],"adj.外部的, 客观的, [医]外用的, 外国的, 表面的//n.外部, 外面"
extra,[5ekstrE],"adj.额外的, 不包括在价目内的, 特大的, 特佳的//adv.特别地, 非常, 另外//n.额外的人(或物), (报纸)号外, 上等产品, (电影)临时演员"
extraordinary,[iks5trC:dnri; iks5trC:dinEri],"adj.非常的, 特别的, 非凡的, 特派的"
extreme,[iks5tri:m],"adj.尽头的, 极端的, 极度的, 偏激的, 最后的//n.极端, 极端的事物"
eye,[ai],"n.眼睛, 视力, 眼光, 观点, 见解, 眼状物, 风吹来的方向, [气]风眼//vt.看, 注视, 在...上打眼"
eyesight,[5aisait],"n.视力, 目力"
fabric,[5fAbrik],"n.织品, 织物, 布, 结构, 建筑物, 构造"
face,[feis],"n.脸, 面容, 表情, 威信, 正面, 地形, 外观//vt.面对, 面向, 面临, 承认, 抹盖//vi.朝, 向"
facility,[fE5siliti],"n.容易, 简易, 灵巧, 熟练, 便利, 敏捷, 设备, 工具"
fact,[fAkt],"n.事实, 实际, 实情, 真相, (犯罪)行为, 论据"
factor,[5fAktE],"n.因素, 要素, 因数, 代理人"
factory,[5fAktEri],"n.工厂, 制造厂, 商住花园外的代理"
faculty,[5fAkElti],"n.才能, 本领, 能力, 全体教员, (大学的)系, 科, (授予的)权力"
fade,[feid],"vi.(声音等)减弱下去, 褪色, 消失, 枯萎, 凋谢//vt.使褪色//n.淡入, 淡出//adj.乏味的, 平淡的"
fail,[feil],"vi.失败, 不及格, 忘记//vt.使失望, 舍弃, 辜负, 不及格//n.不及格, 不及格者"
failure,[5feiljE],"n.失败, 失败者, 缺乏, 失灵, 故障, 破产, 疏忽, <美>不及格"
faint,[feint],"n.昏晕, 昏倒//adj.虚落地, 衰弱的, 软弱的, 无力的, 微弱的, 暗淡的, 模糊的//vi.昏晕, 昏倒, 变得微弱, 变得没气力"
fair,[fZE],"adj.美丽的, 女性的, (肤色)白皙的, (头发)金黄的, 干净的, 公平的, (天气)晴朗的//adv.公平地, 公正地, 直接地, 清楚地//n.美好的事物, 美人, 展览会, 市集//vi.转晴"
fairly,[5fZEli],"adv.公正地, 正当的, 公平对待某人, 公平地, 相当地, 还算, 清楚地"
faith,[feiW],"n.信任, 信念, 宗教信仰, 忠实, 保证, 诺言, 约定"
faithful,[5feiWful],"adj.守信的, 忠实的, 详确的, 可靠的//n.信徒"
fall,[fC:l],"n.秋天, 落下, 瀑布, 降低, 落差, 采伐量, 堕落, 下降//vi.倒下, 落下, 来临, 失守, 变成, 垮台, 下跌, 阵亡//vt.<美><英方>击倒, 砍倒(树木)//adj.秋天的"
false,[fC:ls],"adj.错误的, 虚伪的, 假的, 无信义的, 伪造的, 人工的, 不老实的//adv.欺诈地"
fame,[feim],"n.名声, 名望, 传说, <古>传闻//vt.(常用被动语态)使闻名, 使有名望, 盛传"
familiar,[fE5miljE],"adj.熟悉的, 常见的, 听惯的, 亲近的, 随便的//n.密友, 熟客, 常客"
family,[5fAmili],"n.家庭, 家族, 家属, 亲属, 子女, 僚属//adj.家庭的, 家族的"
famine,[5fAmin],"n.饥荒, <古>饥饿, 严重的缺乏"
famous,[5feimEs],"adj.著名的, 出名的, <口>极好的, 令人满意的"
fan,[fAn],"n.扇子, 鼓风机, 风扇, 迷, 狂热者, 爱好者//vt.煽动, 刺激, 扇, 吹拂//vi.飘动, 成扇形散开"
fancy,[5fAnsi],"adj.奇特的, 异样的//vt.想象, 设想, 认为, 爱好, 自负//n.爱好, 迷恋, 想象力"
far,[fB:],"adj.(常用于书面语)远的, 久远的, 遥远的//adv.(表示空间或时间上的距离)远, 很远, 遥远地, 久远地, 甚远地, 很, 很晚地//n.远处, 远方"
fare,[fZE],"n.费用, 旅客, 食物//vi.遭遇, 进展, 进步, 经营, 过活"
farewell,[5fZE5wel],"n.辞别, 再见, 再会//int.再会, 别了!(常含有永别或不容易再见面的意思)芡淼?n.远处, 远方"
farm,[fB:m],"n.农场, 农庄, 农田//vt.耕种//vi.种田, 务农, 经营农场, 从事畜牧"
farmer,[5fB:mE],"n.农夫, 百姓, 农民, 农场主, 承包主, 牧场主, 畜牧者"
farther,[5fB:TE],"adj.更远的, 进一步的//adv.更远地, 再往前地, 此外, far 的比较级"
fashion,[5fAFEn],"n.样子, 方式, 流行, 风尚, 时样//vt.形成, 造, 作, 把...塑造成, 使适应, 使适合, 改革, 改变"
fashionable,[5fAFEnEbl],"adj.流行的, 时髦的"
fast,[fB:st],"adj.紧的, 牢的, 忠实的, 快速的, 耐久的, 紧的//adv.牢固地, 很快地, 紧紧地, 彻底地//n.禁食, 绝食, 斋戒//vi.绝食, 斋戒"
fasten,[5fB:sn],"vt.扎牢, 扣住, 闩住, 拴紧, 使固定, 系, 集中于, 强加于//vi.扣紧, 抓住"
fat,[fAt],"n.脂肪, 肥肉//adj.肥大的, 丰满的, 肥的, 胖的, 油腻的//n.文件分配表//vt.养肥, 在...中加入脂肪//vi.长肥"
fatal,[5feitl],"adj.致命的, 重大的, 命运注定的, 不幸的, 致命的, 毁灭性的"
fate,[feit],"n.天数, 命运, 运气//vt.注定, 送命"
father,[5fB:TE],"n.父亲, 岳父, 公(丈夫的父亲), 祖先, 前辈, 长辈, 神父, 创始者//vt.当...的父亲, 保护, 创立, 治理, 发明, 培养"
