Arab,[5ArEb],adj.阿拉伯的//n.阿拉伯人
tomb,[tu:m],n.坟墓//v.埋葬
ton,[tQn],"n.吨, 大量, 许多"
tooth,[tu:W],n.牙齿
top,[tCp],"n.顶部, 顶端, 极点, 顶蓬, 陀螺, (常用复数)根菜植物的叶子, 上部, 盖子//adj.最高的, 顶上的, 头等的//vt.盖, 戴, 高耸, 达到顶端, 截去(植物)顶端, 高过, 超越//vi.结束, 完成, 胜过"
touch,[tQtF],"n.触, 触觉, 接触, 联系, 轻触, 碰, 缺点, 格调//vt.接触, 触摸, 触及, 达到, 涉及, 点缀, 使接触, 感动//vi.触摸, 接近, 涉及, 提到"
towards,[tE5wC:dz],"prep.向, 朝, 对面, 接近, 对, 有助于"
track,[trAk],"n.轨迹, 车辙, 跟踪, 航迹, 足迹, 路, 磁轨, 途径//vt.循路而行, 追踪, 通过, 用纤拉//vi.追踪, 留下足迹, 走"
traveller,[5trAvlE],n.旅行者
treasure,[5treVE],"n.财宝, 财富, 珍品, 财产//vt.珍爱, 珍惜, 储藏, 珍藏"
trick,[trik],"n.诡计, 骗局, 恶作剧, 窍门, 诀窍//vt.欺骗, 哄骗"
try out,[],"v.试验, 考验, 提炼"
turn against,[],(使)变成和...敌对
turn into,[],"v.进入, (使)变成"
until,[En5til; Qn5til],"prep.到...为止, 在...以前//conj.到...为止, 在...以前, 直到...才"
untouched,[5Qn5tQtFt],"adj.未触及的, 未改变的, 不受感动的, 无与伦比的"
upon,[E5pCn],prep.在...之上
upside down,[Qpsaid5daun],"adv.颠倒, 混乱"
valley,[5vAli],"n.(山)谷, 流域"
vegetable,[5vedVitEbl],"n.蔬菜, 植物, 生活呆板单调的人//adj.蔬菜的, 植物的"
war,[wC:],"n.战争//vi.作战, 打仗"
wash away,[],洗掉// 洗净// 冲走// 冲坏
waste,[weist],"n.废物, 浪费, 损耗, 消耗, 地面风化物, 垃圾, 荒地//adj.废弃的, 荒芜的, 多余的//vt.浪费, 消耗, 使荒芜//vi.被浪费, 挥霍钱财, 变消瘦, 被损耗"
weak,[wi:k],"adj.不牢固的, 弱的, 虚弱的, 软弱的, 淡的, 疲软的, 无力的, 不耐用的"
wear,[wiE],"vt.穿, 戴//v.(～ out) 磨损, 用旧, (～ out) 穿着"
weigh,[wei],"vt.称...重量, 称//vi.重(若干)某『?"
wheat,[wi:t; hw-],"n.小麦, 小麦色, 淡黄色, 朴实的人"
wherever,[(h)wZEr5evE],"adv.无论那里, 无论什么情况下"
whether,[5(h)weTE],"conj.是否, 不管, 无论"
while,[(h)wail],"n.一会儿, 时间//conj.当...的时候, 虽然//vt.消磨//prep.<古><方>直到"
whom,[hu:m; hum],pron.谁
win,[win],"v.(获)胜, 赢得, 劝诱, 取得胜利//n.赢, 胜利"
wind,[waind],"n.风//v.绕, 缠, 上发条, 旋紧"
wing,[wiN],"n.翅, 翅膀, 翼, 飞翔, 机翼, 派别//vt.装以翼, 飞过, 使飞, 空运, 增加...速度//vi.飞, 飞行"
winner,[5winE],"n.胜利者, 优胜者, 获胜的事物"
wolf,[wulf],"n.狼, 残忍贪婪之人, 极度的穷困//vt.狼吞虎咽, 大吃//vi.猎狼"
wood,[wud],"n.木头, 木材, 树木"
wooden,[5wudn],adj.木制的
work away,[],v.不停地连续工作
workmate,[],n. 同事，工作伙伴
works,[wEks],n.工事；工程
workshop,[5wE:kFCp],"n.车间, 工场"
worth,[wE:W],"prep.相当...价值//n.价值, 财产//adj.值钱的, 值的看中的"
wound,[wu:nd],"n.创伤, 伤口//vt.伤, 伤寒//v.击伤"
wounded,[5wu:ndid],adj.受伤的
writer,[5raitE],"n.作者, 作家, 复写器"
