Alaska,[E5lAskE],"n.阿拉斯加州(美国州名)鞯? 暴风雨的, 恶劣的(天气)vt.弄脏//vi.变"
room,[ru:m; rum],"n.房间, 屋子, 寓所, 场所, 地位, 空间, 机会, 余地"
rose,[rEuz],"n.蔷薇属, 玫瑰, 玫瑰红//vbl.rise的过去式"
run,[rQn],"n.跑, 赛跑, 奔跑, 运转, 趋向//vi.跑, 奔, 逃跑, 竞选, 跑步, 蔓延, 进行, 行驶//vt.使跑, 参赛, 追究, 使流, 管理, 运行, 开动//adj.熔化的, 融化的, 浇铸的//vbl.run的过去式和过去分词"
run out of,[],v.用完
running water,[],n. 流水，活水
safety,[5seifti],"n.安全, 保险, 安全设备, 保险装置"
seal,[si:l],"n.封铅, 封条, 印, 图章, 密封//vt.封, 密封//n.海豹, 海豹毛皮"
search,[sE:tF],"n.搜寻, 查究//v.搜索, 搜寻, 探求, 调查"
seashell,[5si:Fel],n.海贝壳
section,[5sekFEn],"n.部分, 断片, 部件, 节, 项, 区, 地域, 截面"
separately,[5sepErEtli],adv.个别地//分离地
serve,[sE:v],"v.当仆人, 服务, 服役, 供职, 招待, 侍候, 供应, 适合//n.发球"
set,[set],"v.放, 置, 移动到, 使(人或事物处于某种状态), 提出, 树立, 规定, 调整//n.一套, 一副, 一批, 接受机, 装置, 趋势, 布景//adj.固定的, 规定的, 坚决的, 固执的, 事先做好的"
set off,[],"v.出发, 动身, 使爆炸, 引起, 使爆发, 抵销, 分开, 衬托"
settle,[5setl],"n.有背的长凳//vt.安放, 使定居, 安排, 解决, 决定, 整理, 支付, 使平静//vi.安家, 定居, 停留, 下陷, 沉淀, 决定, 澄清"
settlement,[5setlmEnt],"n.沉降, 解决, 结算, 殖民, 殖民地"
settler,[5setlE],"n.移民者, 殖民者, [律]财产赠予者, 托管财产者"
shame,[Feim],"n.羞耻, 羞愧, 可耻的人(或事物)? 靠不住的"
shape,[Feip],"n.外形, 形状, 形态, (尤指女子的)体形, 身段, 形式//vt.制作, 定形, 使成形, 塑造, 使符合//vi.成形, 形成, 成长"
share,[FZE],"n.共享, 参与, 一份, 部分, 份额, 参股//vt.分享, 均分, 共有, 分配//vi.分享//[计] 使DOS支持文件共享和锁定"
shop assistant,[],n.店员
shore,[FC:; FCE],"n.岸, 海滨, 支撑柱//vt.支撑, 支持"
sideway,[`saidwei],"n.小路, 小巷,人行道"
sight,[sait],"n.视力, 视觉, 见, 瞥见, 视域, 眼界"
sign,[sain],"n.标记, 符号, 记号, 征兆, 迹象, 征候//v.签名(于), 署名(于)～, 签署"
silent,[5sailEnt],"adj.寂静的, 沉默的, 无声的, 无记载的"
silver,[5silvE],"n.银, 银子//vt.镀银"
skin,[skin],"n.皮, 皮肤, 兽皮, 皮毛, 外皮, 外壳//v.长皮"
smelly,[5smeli],"adj.发臭的, 有臭味的"
smoker,[5smEukE],熏制(肉类)者
so as to,[],"adv.使得, 以致//如此...以致于"
sooner or later,[],adv.迟早
speed,[spi:d],"n.迅速, 速度, 速率//v.加快, 速飞, 飞跑"
speed up,[],v.加速
square,[skwZE],"n.正方形, 广场, 平方, 直角尺//adj.正方形的, 四方的, 直角的, 正直的, 公平的, 结清的, 平方的, 彻底的//adv.成直角地, 正直地, 公平地, 坚定地//v.使成方形, 弄平, 使直, 与...一致, 符合, 自乘, 结算"
square kilometres,[],平方公里
stage,[steidV],"n.舞台, 戏剧, 活动场所, 发展的进程, 阶段或时期, 驿站//vt.上演, 筹备, 举行"
standing room,[],n.站立的空间//只容站立的地方
stare,[steE(r)) 凝视; 盯着看],"v.(～ at) 凝视, 盯着看"
stare at,[],"v.凝视, 盯住"
still,[stil],"n.寂静, 剧照, 照片//adj.静止的, 静寂的//adv.还, 仍, 更, 还要, 尽管如此, 依然//静止画面,静态图片"
stomach,[5stQmEk],"n.胃, 胃口, 胃部//v.容忍"
storm,[stC:m],"n.暴风雨, 暴风雪//v.狂怒咆哮//abbr.[军] Sensor,Tank,Off-Route Mine, 路外反坦克雷传感器"
streetcar,[5stri:tkB:],n.路面电车
strict,[strikt],"adj.(～ with) 严格的, 严厉的, 严谨的, 精确的"
strike,[straik],"n.罢工, 打击, 殴打//vt.打, 撞击, 冲击, 罢工, 打动, 划燃, 到达, 侵袭//vi.打, 打击, 罢工, 抓, 敲, 搏动, 打动, 穿透"
struggle,[5strQgl],"n.竞争, 努力, 奋斗//vi.努力, 奋斗, 挣扎//vt.尽力使得, 使劲移动"
struggle against,[],同…作斗争
studio,[5stju:diEu],"n.画室, 照相室, 工作室, (无线电或电视节目的)演播室, (制作电影的)摄影棚, (电影公司的)摄影场"
suitable,[5sju:tEbl],"adj.适当的, 相配的"
surprisingly,[],adv.令人惊讶地
swing,[swiN],"v.摇摆, 摆动, 回转, 旋转//n.秋千, 摇摆, 摆动"
tailor,[5teilE],"n.裁缝//vt.剪裁, 缝制(衣服)～, 适应, 适合//v.制做"
take a photograph of,[],照一张(…的)相
take along,[],随身带着
take it easy,[],"v.从容, 不紧张, 松懈, 轻松"
take place,[],v.发生
take the place of,[],v.代替
tank,[tANk],"n.(盛液体, 气体的大容器)桶、箱、罐、槽, 池塘, 坦克, 战车, 柜, 储水池//vt.储于槽中, 击败//vi.大量喝酒"
tanker,[5tANkE],n.油轮
tap,[tAp],"n.轻打, 活栓, 水龙头//vt.轻打, 轻敲, 敲打出, 开发, 分接, 使流出, 选择, 攻螺纹于//vi.轻叩, 轻拍, 轻声走//n.<美>(用复数)熄灯号"
tape-recording,[],n. 磁带录音
tent,[tent],n.帐篷
test,[test],"n.测试, 试验, 检验//v.测试, 试验, 检验"
text,[tekst],"n.正文, 原文, 课文, 课本"
the Magic Castle,[],神秘城堡
the Mediterranean,[7meditE5reinjEn],地中海
the other day,[],n.前几天
therefore,[5TZEfC:],"adv.因此, 所以"
throw at,[],向…扔去
throw up,[],"v.呕吐, 猛地举起, 放弃, 产生, 使显眼"
time and time again,[],多次；不断地
to one's joy,[],令人高兴的是
tobacco,[tE5bAkEu],"n.烟草, 烟草制品, 抽烟"
tod,[tCd],"n.狐, 机灵的人, 狐皮"
tool,[tu:l],"n.工具, 用具, 爪牙, 走狗, 手段//vt.用工具加工, 使用设备//vi.使用工具"
tower,[5tauE],"n.塔, 城堡"
trade,[treid],"n.贸易, 商业, 交易, 生意, 职业, 行业, [气]信风, 顾客//vi.交易, 买卖, 经商, 对换, 购物//vt.用...进行交换"
treat,[tri:t],"n.宴请, 款待, 请客//vt.视为, 对待, 论述, 治疗, 款待//vi.交涉, 谈判, 协商, 款待, 作东"
trust,[trQst],"vt.信任, 信赖, 盼望, 希望, 赊卖, 热望, 切望//n.(～ in) 信任, 信赖"
turn...into...,[],把…变成…
type,[taip],"n.类型, 典型, 模范, [印刷]活字, 铅字//v.打字, 测定(血等)类型"
typewriter,[5taipraitE],n.打字机
uncertain,[Qn5sE:tn],"adj.无常的, 不确定的, 不可预测的, 靠不住的"
underwater,[5QndE5wC:tE],"adj.在水下的, 在水中的//adv.在水下, 在水线以下//n.(海洋等)水面下的水"
unsuccessful,[5QnsEk5sesful],"adj.不成功的, 失败的"
view,[vju:],"n.景色, 风景, 观点, 见解, 观察, 观看, 意见, 认为//vt.观察, 观看"
warn,[wC:n],"vt.警告, 注意, 通知//vi.发出警告, 发出预告"
warning,[5wC:niN],"n.警告, 预告, 通知, 预兆"
wave,[weiv],"n.波, 波浪, (挥手)示意, 致意//vi.(挥手)示意, 致意, 波动, 飘动, 摇动"
weatherman,[`weTEmEn],气象员
weekly,[5wi:kli],"adj.每星期的, 一周的//adv.每周一次//n.周刊, 周报"
well-known,[],"adj.众所周知的, 有名的, 清楚明白的"
whatever,[wCt5evE; hw-],"pron.凡是...,无论什么//adj.无论怎样的, 无论哪一种的, 什么也"
whenever,[(h)wen5evE],"conj.无论何时, 随时//n.只要"
wherever,[(h)wZEr5evE],"adv.无论那里, 无论什么情况下"
wire,[5waiE],"n.金属丝, 电线, 电报, 电信, 铁丝网//vt.用金属丝卷起, 拍电报//vi.打电报//adj.金属丝制的"
within,[wiT5in],"n.内部, 里头//adv.在内部, 在内心里//prep.在...之内, 不越出//adj.里面的, 内部的"
wooden,[5wudn],adj.木制的
wound,[wu:nd],"n.创伤, 伤口//vt.伤, 伤寒//v.击伤"
yard,[jB:d],"n.院子, 码"
